,country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-value,p-values
41,France-Algeria,Single_Similar_And (SSA),mistral_7B,0.5,14.0,16.0,-2.0,,
42,U.S.A.-Mexico,Single_Similar_And (SSA),mistral_7B,1.0,8.0,17.0,-9.0,,
43,U.S.S.R.-Poland,Single_Similar_And (SSA),mistral_7B,1.0,7.0,1.0,6.0,,
44,China-Albania,Single_Similar_And (SSA),mistral_7B,1.0,4.0,8.0,-4.0,,
45,U.S.A.-Israel,Single_Similar_And (SSA),mistral_7B,1.0,18.0,16.0,2.0,,
46,Japan-Philippines,Single_Similar_And (SSA),mistral_7B,1.0,17.0,19.0,-2.0,,
47,U.S.A.-Canada,Single_Similar_And (SSA),mistral_7B,1.0,19.0,9.0,10.0,,
48,U.S.S.R.-Israel,Single_Similar_And (SSA),mistral_7B,1.0,7.0,15.0,-8.0,,
49,England-Ireland,Single_Similar_And (SSA),mistral_7B,1.0,19.0,19.0,0.0,,
50,Germany-Austria,Single_Similar_And (SSA),mistral_7B,1.0,18.0,18.0,0.0,,
51,U.S.S.R.-France,Single_Similar_And (SSA),mistral_7B,1.0,4.0,10.0,-6.0,,
52,Belgium-Luxembourg,Single_Similar_And (SSA),mistral_7B,1.0,16.0,18.0,-2.0,,
53,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),mistral_7B,1.0,1.0,5.0,-4.0,,
54,China-North Korea,Single_Similar_And (SSA),mistral_7B,1.0,9.0,9.0,0.0,,
55,India-Sri Lanka,Single_Similar_And (SSA),mistral_7B,1.0,16.0,17.0,-1.0,,
56,U.S.A.-France,Single_Similar_And (SSA),mistral_7B,1.0,9.0,7.0,2.0,,
57,U.S.S.R.-Cuba,Single_Similar_And (SSA),mistral_7B,1.0,14.0,40.0,-26.0,,
58,England-Jordan,Single_Similar_And (SSA),mistral_7B,1.0,4.0,7.0,-3.0,,
59,France-Israel,Single_Similar_And (SSA),mistral_7B,1.0,14.0,17.0,-3.0,,
60,U.S.A.-Germany,Single_Similar_And (SSA),mistral_7B,1.0,9.0,15.0,-6.0,,
61,U.S.S.R.-Syria,Single_Similar_And (SSA),mistral_7B,1.0,0.0,4.0,-4.0,,
62,France-Algeria,Single_Similar_And (SSA),mistral_7B,1.0,7.0,17.0,-10.0,,
63,U.S.A.-Mexico,Single_Similar_And (SSA),mistral_7B,1.5,9.0,9.0,0.0,,
64,U.S.S.R.-Poland,Single_Similar_And (SSA),mistral_7B,1.5,5.0,4.0,1.0,,
65,China-Albania,Single_Similar_And (SSA),mistral_7B,1.5,6.0,5.0,1.0,,
66,U.S.A.-Israel,Single_Similar_And (SSA),mistral_7B,1.5,19.0,19.0,0.0,,
67,Japan-Philippines,Single_Similar_And (SSA),mistral_7B,1.5,15.0,19.0,-4.0,,
68,U.S.A.-Canada,Single_Similar_And (SSA),mistral_7B,1.5,9.0,17.0,-8.0,,
69,U.S.S.R.-Israel,Single_Similar_And (SSA),mistral_7B,1.5,7.0,10.0,-3.0,,
70,England-Ireland,Single_Similar_And (SSA),mistral_7B,1.5,16.0,15.0,1.0,,
71,Germany-Austria,Single_Similar_And (SSA),mistral_7B,1.5,18.0,18.0,0.0,,
72,U.S.S.R.-France,Single_Similar_And (SSA),mistral_7B,1.5,8.0,0.0,8.0,,
73,Belgium-Luxembourg,Single_Similar_And (SSA),mistral_7B,1.5,18.0,16.0,2.0,,
74,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),mistral_7B,1.5,5.0,17.0,-12.0,,
75,China-North Korea,Single_Similar_And (SSA),mistral_7B,1.5,8.0,18.0,-10.0,,
76,India-Sri Lanka,Single_Similar_And (SSA),mistral_7B,1.5,16.0,19.0,-3.0,,
77,U.S.A.-France,Single_Similar_And (SSA),mistral_7B,1.5,9.0,16.0,-7.0,,
78,U.S.S.R.-Cuba,Single_Similar_And (SSA),mistral_7B,1.5,4.0,6.0,-2.0,,
79,England-Jordan,Single_Similar_And (SSA),mistral_7B,1.5,5.0,10.0,-5.0,,
80,France-Israel,Single_Similar_And (SSA),mistral_7B,1.5,14.0,7.0,7.0,,
81,U.S.A.-Germany,Single_Similar_And (SSA),mistral_7B,1.5,10.0,14.0,-4.0,,
82,U.S.S.R.-Syria,Single_Similar_And (SSA),mistral_7B,1.5,0.0,2.0,-2.0,,
83,France-Algeria,Single_Similar_And (SSA),mistral_7B,1.5,15.0,15.0,0.0,,
84,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
85,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_7B,0.001,10.0,10.0,0.0,,
86,China-Albania,Single_Similar_And (SSA),llama2_7B,0.001,8.0,6.0,2.0,,
87,U.S.A.-Israel,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
88,Japan-Philippines,Single_Similar_And (SSA),llama2_7B,0.001,10.0,15.0,-5.0,,
89,U.S.A.-Canada,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
90,U.S.S.R.-Israel,Single_Similar_And (SSA),llama2_7B,0.001,10.0,10.0,0.0,,
91,England-Ireland,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
92,Germany-Austria,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
93,U.S.S.R.-France,Single_Similar_And (SSA),llama2_7B,0.001,10.0,10.0,0.0,,
94,Belgium-Luxembourg,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
95,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama2_7B,0.001,10.0,10.0,0.0,,
96,China-North Korea,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
97,India-Sri Lanka,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
98,U.S.A.-France,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
99,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
100,England-Jordan,Single_Similar_And (SSA),llama2_7B,0.001,10.0,10.0,0.0,,
101,France-Israel,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
102,U.S.A.-Germany,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
103,U.S.S.R.-Syria,Single_Similar_And (SSA),llama2_7B,0.001,3.0,10.0,-7.0,,
104,France-Algeria,Single_Similar_And (SSA),llama2_7B,0.001,15.0,15.0,0.0,,
105,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
106,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_7B,0.5,10.0,10.0,0.0,,
107,China-Albania,Single_Similar_And (SSA),llama2_7B,0.5,8.0,8.0,0.0,,
108,U.S.A.-Israel,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
109,Japan-Philippines,Single_Similar_And (SSA),llama2_7B,0.5,13.0,15.0,-2.0,,
110,U.S.A.-Canada,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
111,U.S.S.R.-Israel,Single_Similar_And (SSA),llama2_7B,0.5,10.0,10.0,0.0,,
112,England-Ireland,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
113,Germany-Austria,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
114,U.S.S.R.-France,Single_Similar_And (SSA),llama2_7B,0.5,10.0,10.0,0.0,,
115,Belgium-Luxembourg,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
116,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama2_7B,0.5,10.0,10.0,0.0,,
117,China-North Korea,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
118,India-Sri Lanka,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
119,U.S.A.-France,Single_Similar_And (SSA),llama2_7B,0.5,15.0,14.0,1.0,,
120,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama2_7B,0.5,15.0,14.0,1.0,,
121,England-Jordan,Single_Similar_And (SSA),llama2_7B,0.5,13.0,10.0,3.0,,
122,France-Israel,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
123,U.S.A.-Germany,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
124,U.S.S.R.-Syria,Single_Similar_And (SSA),llama2_7B,0.5,3.0,10.0,-7.0,,
125,France-Algeria,Single_Similar_And (SSA),llama2_7B,0.5,15.0,15.0,0.0,,
126,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_7B,1.0,15.0,14.0,1.0,,
127,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_7B,1.0,14.0,8.0,6.0,,
128,China-Albania,Single_Similar_And (SSA),llama2_7B,1.0,4.0,5.0,-1.0,,
129,U.S.A.-Israel,Single_Similar_And (SSA),llama2_7B,1.0,15.0,15.0,0.0,,
130,Japan-Philippines,Single_Similar_And (SSA),llama2_7B,1.0,13.0,16.0,-3.0,,
131,U.S.A.-Canada,Single_Similar_And (SSA),llama2_7B,1.0,15.0,15.0,0.0,,
132,U.S.S.R.-Israel,Single_Similar_And (SSA),llama2_7B,1.0,6.0,13.0,-7.0,,
133,England-Ireland,Single_Similar_And (SSA),llama2_7B,1.0,15.0,15.0,0.0,,
134,Germany-Austria,Single_Similar_And (SSA),llama2_7B,1.0,15.0,15.0,0.0,,
135,U.S.S.R.-France,Single_Similar_And (SSA),llama2_7B,1.0,8.0,10.0,-2.0,,
136,Belgium-Luxembourg,Single_Similar_And (SSA),llama2_7B,1.0,16.0,14.0,2.0,,
137,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama2_7B,1.0,10.0,14.0,-4.0,,
138,China-North Korea,Single_Similar_And (SSA),llama2_7B,1.0,15.0,15.0,0.0,,
139,India-Sri Lanka,Single_Similar_And (SSA),llama2_7B,1.0,16.0,15.0,1.0,,
140,U.S.A.-France,Single_Similar_And (SSA),llama2_7B,1.0,15.0,15.0,0.0,,
141,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama2_7B,1.0,16.0,15.0,1.0,,
142,England-Jordan,Single_Similar_And (SSA),llama2_7B,1.0,10.0,10.0,0.0,,
143,France-Israel,Single_Similar_And (SSA),llama2_7B,1.0,15.0,15.0,0.0,,
144,U.S.A.-Germany,Single_Similar_And (SSA),llama2_7B,1.0,15.0,15.0,0.0,,
145,U.S.S.R.-Syria,Single_Similar_And (SSA),llama2_7B,1.0,1.0,10.0,-9.0,,
146,France-Algeria,Single_Similar_And (SSA),llama2_7B,1.0,14.0,15.0,-1.0,,
147,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_7B,1.5,15.0,15.0,0.0,,
148,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_7B,1.5,10.0,15.0,-5.0,,
149,China-Albania,Single_Similar_And (SSA),llama2_7B,1.5,4.0,5.0,-1.0,,
150,U.S.A.-Israel,Single_Similar_And (SSA),llama2_7B,1.5,15.0,15.0,0.0,,
151,Japan-Philippines,Single_Similar_And (SSA),llama2_7B,1.5,13.0,15.0,-2.0,,
152,U.S.A.-Canada,Single_Similar_And (SSA),llama2_7B,1.5,15.0,14.0,1.0,,
153,U.S.S.R.-Israel,Single_Similar_And (SSA),llama2_7B,1.5,8.0,10.0,-2.0,,
154,England-Ireland,Single_Similar_And (SSA),llama2_7B,1.5,15.0,15.0,0.0,,
155,Germany-Austria,Single_Similar_And (SSA),llama2_7B,1.5,15.0,18.0,-3.0,,
156,U.S.S.R.-France,Single_Similar_And (SSA),llama2_7B,1.5,15.0,15.0,0.0,,
157,Belgium-Luxembourg,Single_Similar_And (SSA),llama2_7B,1.5,15.0,15.0,0.0,,
158,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama2_7B,1.5,8.0,10.0,-2.0,,
159,China-North Korea,Single_Similar_And (SSA),llama2_7B,1.5,16.0,15.0,1.0,,
160,India-Sri Lanka,Single_Similar_And (SSA),llama2_7B,1.5,15.0,15.0,0.0,,
161,U.S.A.-France,Single_Similar_And (SSA),llama2_7B,1.5,15.0,15.0,0.0,,
162,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama2_7B,1.5,16.0,14.0,2.0,,
163,England-Jordan,Single_Similar_And (SSA),llama2_7B,1.5,14.0,15.0,-1.0,,
164,France-Israel,Single_Similar_And (SSA),llama2_7B,1.5,15.0,10.0,5.0,,
165,U.S.A.-Germany,Single_Similar_And (SSA),llama2_7B,1.5,15.0,14.0,1.0,,
166,U.S.S.R.-Syria,Single_Similar_And (SSA),llama2_7B,1.5,3.0,8.0,-5.0,,
167,France-Algeria,Single_Similar_And (SSA),llama2_7B,1.5,15.0,14.0,1.0,,
168,U.S.A.-Mexico,Single_Similar_And (SSA),llama3_8B,0.001,14.0,14.0,0.0,,
169,U.S.S.R.-Poland,Single_Similar_And (SSA),llama3_8B,0.001,4.0,2.0,2.0,,
170,China-Albania,Single_Similar_And (SSA),llama3_8B,0.001,2.0,2.0,0.0,,
171,U.S.A.-Israel,Single_Similar_And (SSA),llama3_8B,0.001,12.0,18.0,-6.0,,
172,Japan-Philippines,Single_Similar_And (SSA),llama3_8B,0.001,12.0,12.0,0.0,,
173,U.S.A.-Canada,Single_Similar_And (SSA),llama3_8B,0.001,18.0,18.0,0.0,,
174,U.S.S.R.-Israel,Single_Similar_And (SSA),llama3_8B,0.001,2.0,2.0,0.0,,
175,England-Ireland,Single_Similar_And (SSA),llama3_8B,0.001,12.0,12.0,0.0,,
176,Germany-Austria,Single_Similar_And (SSA),llama3_8B,0.001,18.0,14.0,4.0,,
177,U.S.S.R.-France,Single_Similar_And (SSA),llama3_8B,0.001,2.0,2.0,0.0,,
178,Belgium-Luxembourg,Single_Similar_And (SSA),llama3_8B,0.001,18.0,18.0,0.0,,
179,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama3_8B,0.001,4.0,4.0,0.0,,
180,China-North Korea,Single_Similar_And (SSA),llama3_8B,0.001,12.0,12.0,0.0,,
181,India-Sri Lanka,Single_Similar_And (SSA),llama3_8B,0.001,14.0,18.0,-4.0,,
182,U.S.A.-France,Single_Similar_And (SSA),llama3_8B,0.001,4.0,12.0,-8.0,,
183,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama3_8B,0.001,4.0,2.0,2.0,,
184,England-Jordan,Single_Similar_And (SSA),llama3_8B,0.001,2.0,4.0,-2.0,,
185,France-Israel,Single_Similar_And (SSA),llama3_8B,0.001,4.0,4.0,0.0,,
186,U.S.A.-Germany,Single_Similar_And (SSA),llama3_8B,0.001,12.0,14.0,-2.0,,
187,U.S.S.R.-Syria,Single_Similar_And (SSA),llama3_8B,0.001,2.0,2.0,0.0,,
188,France-Algeria,Single_Similar_And (SSA),llama3_8B,0.001,12.0,14.0,-2.0,,
189,U.S.A.-Mexico,Single_Similar_And (SSA),llama3_8B,0.5,14.0,17.0,-3.0,,
190,U.S.S.R.-Poland,Single_Similar_And (SSA),llama3_8B,0.5,8.0,2.0,6.0,,
191,China-Albania,Single_Similar_And (SSA),llama3_8B,0.5,2.0,2.0,0.0,,
192,U.S.A.-Israel,Single_Similar_And (SSA),llama3_8B,0.5,14.0,16.0,-2.0,,
193,Japan-Philippines,Single_Similar_And (SSA),llama3_8B,0.5,12.0,6.0,6.0,,
194,U.S.A.-Canada,Single_Similar_And (SSA),llama3_8B,0.5,18.0,18.0,0.0,,
195,U.S.S.R.-Israel,Single_Similar_And (SSA),llama3_8B,0.5,2.0,2.0,0.0,,
196,England-Ireland,Single_Similar_And (SSA),llama3_8B,0.5,12.0,12.0,0.0,,
197,Germany-Austria,Single_Similar_And (SSA),llama3_8B,0.5,18.0,12.0,6.0,,
198,U.S.S.R.-France,Single_Similar_And (SSA),llama3_8B,0.5,2.0,4.0,-2.0,,
199,Belgium-Luxembourg,Single_Similar_And (SSA),llama3_8B,0.5,18.0,18.0,0.0,,
200,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama3_8B,0.5,2.0,4.0,-2.0,,
201,China-North Korea,Single_Similar_And (SSA),llama3_8B,0.5,14.0,16.0,-2.0,,
202,India-Sri Lanka,Single_Similar_And (SSA),llama3_8B,0.5,14.0,14.0,0.0,,
203,U.S.A.-France,Single_Similar_And (SSA),llama3_8B,0.5,4.0,6.0,-2.0,,
204,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama3_8B,0.5,4.0,2.0,2.0,,
205,England-Jordan,Single_Similar_And (SSA),llama3_8B,0.5,2.0,4.0,-2.0,,
206,France-Israel,Single_Similar_And (SSA),llama3_8B,0.5,4.0,6.0,-2.0,,
207,U.S.A.-Germany,Single_Similar_And (SSA),llama3_8B,0.5,6.0,14.0,-8.0,,
208,U.S.S.R.-Syria,Single_Similar_And (SSA),llama3_8B,0.5,2.0,2.0,0.0,,
209,France-Algeria,Single_Similar_And (SSA),llama3_8B,0.5,14.0,10.0,4.0,,
210,U.S.A.-Mexico,Single_Similar_And (SSA),llama3_8B,1.0,18.0,16.0,2.0,,
211,U.S.S.R.-Poland,Single_Similar_And (SSA),llama3_8B,1.0,8.0,2.0,6.0,,
212,China-Albania,Single_Similar_And (SSA),llama3_8B,1.0,4.0,2.0,2.0,,
213,U.S.A.-Israel,Single_Similar_And (SSA),llama3_8B,1.0,16.0,17.0,-1.0,,
214,Japan-Philippines,Single_Similar_And (SSA),llama3_8B,1.0,4.0,8.0,-4.0,,
215,U.S.A.-Canada,Single_Similar_And (SSA),llama3_8B,1.0,18.0,18.0,0.0,,
216,U.S.S.R.-Israel,Single_Similar_And (SSA),llama3_8B,1.0,4.0,2.0,2.0,,
217,England-Ireland,Single_Similar_And (SSA),llama3_8B,1.0,16.0,10.0,6.0,,
218,Germany-Austria,Single_Similar_And (SSA),llama3_8B,1.0,18.0,14.0,4.0,,
219,U.S.S.R.-France,Single_Similar_And (SSA),llama3_8B,1.0,2.0,2.0,0.0,,
220,Belgium-Luxembourg,Single_Similar_And (SSA),llama3_8B,1.0,16.0,18.0,-2.0,,
221,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama3_8B,1.0,0.0,12.0,-12.0,,
222,China-North Korea,Single_Similar_And (SSA),llama3_8B,1.0,18.0,15.0,3.0,,
223,India-Sri Lanka,Single_Similar_And (SSA),llama3_8B,1.0,12.0,18.0,-6.0,,
224,U.S.A.-France,Single_Similar_And (SSA),llama3_8B,1.0,4.0,4.0,0.0,,
225,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama3_8B,1.0,10.0,2.0,8.0,,
226,England-Jordan,Single_Similar_And (SSA),llama3_8B,1.0,4.0,4.0,0.0,,
227,France-Israel,Single_Similar_And (SSA),llama3_8B,1.0,2.0,4.0,-2.0,,
228,U.S.A.-Germany,Single_Similar_And (SSA),llama3_8B,1.0,8.0,10.0,-2.0,,
229,U.S.S.R.-Syria,Single_Similar_And (SSA),llama3_8B,1.0,2.0,1.0,1.0,,
230,France-Algeria,Single_Similar_And (SSA),llama3_8B,1.0,14.0,12.0,2.0,,
231,U.S.A.-Mexico,Single_Similar_And (SSA),llama3_8B,1.5,12.0,14.0,-2.0,,
232,U.S.S.R.-Poland,Single_Similar_And (SSA),llama3_8B,1.5,12.0,4.0,8.0,,
233,China-Albania,Single_Similar_And (SSA),llama3_8B,1.5,2.0,2.0,0.0,,
234,U.S.A.-Israel,Single_Similar_And (SSA),llama3_8B,1.5,8.0,14.0,-6.0,,
235,Japan-Philippines,Single_Similar_And (SSA),llama3_8B,1.5,10.0,10.0,0.0,,
236,U.S.A.-Canada,Single_Similar_And (SSA),llama3_8B,1.5,18.0,14.0,4.0,,
237,U.S.S.R.-Israel,Single_Similar_And (SSA),llama3_8B,1.5,4.0,4.0,0.0,,
238,England-Ireland,Single_Similar_And (SSA),llama3_8B,1.5,10.0,16.0,-6.0,,
239,Germany-Austria,Single_Similar_And (SSA),llama3_8B,1.5,17.0,14.0,3.0,,
240,U.S.S.R.-France,Single_Similar_And (SSA),llama3_8B,1.5,4.0,2.0,2.0,,
241,Belgium-Luxembourg,Single_Similar_And (SSA),llama3_8B,1.5,12.0,18.0,-6.0,,
242,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama3_8B,1.5,4.0,2.0,2.0,,
243,China-North Korea,Single_Similar_And (SSA),llama3_8B,1.5,15.0,12.0,3.0,,
244,India-Sri Lanka,Single_Similar_And (SSA),llama3_8B,1.5,18.0,15.0,3.0,,
245,U.S.A.-France,Single_Similar_And (SSA),llama3_8B,1.5,12.0,14.0,-2.0,,
246,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama3_8B,1.5,5.0,2.0,3.0,,
247,England-Jordan,Single_Similar_And (SSA),llama3_8B,1.5,2.0,6.0,-4.0,,
248,France-Israel,Single_Similar_And (SSA),llama3_8B,1.5,4.0,4.0,0.0,,
249,U.S.A.-Germany,Single_Similar_And (SSA),llama3_8B,1.5,10.0,12.0,-2.0,,
250,U.S.S.R.-Syria,Single_Similar_And (SSA),llama3_8B,1.5,1.0,2.0,-1.0,,
251,France-Algeria,Single_Similar_And (SSA),llama3_8B,1.5,16.0,14.0,2.0,,
252,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_13B,0.001,15.0,15.0,0.0,,
253,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_13B,0.001,5.0,5.0,0.0,,
254,China-Albania,Single_Similar_And (SSA),llama2_13B,0.001,5.0,5.0,0.0,,
255,U.S.A.-Israel,Single_Similar_And (SSA),llama2_13B,0.001,16.0,16.0,0.0,,
256,Japan-Philippines,Single_Similar_And (SSA),llama2_13B,0.001,12.0,12.0,0.0,,
257,U.S.A.-Canada,Single_Similar_And (SSA),llama2_13B,0.001,15.0,15.0,0.0,,
258,U.S.S.R.-Israel,Single_Similar_And (SSA),llama2_13B,0.001,5.0,5.0,0.0,,
259,England-Ireland,Single_Similar_And (SSA),llama2_13B,0.001,15.0,15.0,0.0,,
260,Germany-Austria,Single_Similar_And (SSA),llama2_13B,0.001,15.0,15.0,0.0,,
261,U.S.S.R.-France,Single_Similar_And (SSA),llama2_13B,0.001,5.0,5.0,0.0,,
262,Belgium-Luxembourg,Single_Similar_And (SSA),llama2_13B,0.001,15.0,15.0,0.0,,
263,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama2_13B,0.001,10.0,5.0,5.0,,
264,China-North Korea,Single_Similar_And (SSA),llama2_13B,0.001,14.0,16.0,-2.0,,
265,India-Sri Lanka,Single_Similar_And (SSA),llama2_13B,0.001,15.0,15.0,0.0,,
266,U.S.A.-France,Single_Similar_And (SSA),llama2_13B,0.001,14.0,15.0,-1.0,,
267,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama2_13B,0.001,15.0,15.0,0.0,,
268,England-Jordan,Single_Similar_And (SSA),llama2_13B,0.001,12.0,12.0,0.0,,
269,France-Israel,Single_Similar_And (SSA),llama2_13B,0.001,14.0,14.0,0.0,,
270,U.S.A.-Germany,Single_Similar_And (SSA),llama2_13B,0.001,14.0,14.0,0.0,,
271,U.S.S.R.-Syria,Single_Similar_And (SSA),llama2_13B,0.001,5.0,5.0,0.0,,
272,France-Algeria,Single_Similar_And (SSA),llama2_13B,0.001,12.0,12.0,0.0,,
273,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_13B,0.5,15.0,15.0,0.0,,
274,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_13B,0.5,5.0,5.0,0.0,,
