,country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-values
116,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),llama3_70B,0.001,6.0,6.0,0.0,[]
53,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),llama3_8B,0.001,2.0,4.0,-2.0,[]
179,U.S.A.-U.S.S.R.,,human,,5.84,6.2,-0.3600000000000003,
162,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),gpt-4,0.001,12.0,12.0,0.0,[]
57,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),llama3_8B,0.001,4.0,4.0,0.0,[]
183,U.S.S.R.-Cuba,,human,,11.46,12.32,-0.8599999999999994,
120,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),llama3_70B,0.001,14.0,12.0,2.0,[]
114,U.S.S.R.-France,Single_Similar_Degree (SSD),llama3_70B,0.001,6.0,4.0,2.0,[]
177,U.S.S.R.-France,,human,,5.21,5.03,0.17999999999999972,
51,U.S.S.R.-France,Single_Similar_Degree (SSD),llama3_8B,0.001,4.0,2.0,2.0,[]
156,U.S.S.R.-France,Single_Similar_Degree (SSD),gpt-4,0.001,5.0,5.0,0.0,[]
111,U.S.S.R.-Israel,Single_Similar_Degree (SSD),llama3_70B,0.001,4.0,4.0,0.0,[]
48,U.S.S.R.-Israel,Single_Similar_Degree (SSD),llama3_8B,0.001,2.0,2.0,0.0,[]
153,U.S.S.R.-Israel,Single_Similar_Degree (SSD),gpt-4,0.001,5.0,5.0,0.0,[]
174,U.S.S.R.-Israel,,human,,3.41,3.69,-0.2799999999999998,
43,U.S.S.R.-Poland,Single_Similar_Degree (SSD),llama3_8B,0.001,4.0,4.0,0.0,[]
169,U.S.S.R.-Poland,,human,,15.12,15.18,-0.0600000000000005,
106,U.S.S.R.-Poland,Single_Similar_Degree (SSD),llama3_70B,0.001,6.0,4.0,2.0,[]
148,U.S.S.R.-Poland,Single_Similar_Degree (SSD),gpt-4,0.001,5.0,5.0,0.0,[]
166,U.S.S.R.-Syria,Single_Similar_Degree (SSD),gpt-4,0.001,5.0,5.0,0.0,[]
61,U.S.S.R.-Syria,Single_Similar_Degree (SSD),llama3_8B,0.001,2.0,2.0,0.0,[]
124,U.S.S.R.-Syria,Single_Similar_Degree (SSD),llama3_70B,0.001,4.0,6.0,-2.0,[]
187,U.S.S.R.-Syria,,human,,6.61,8.51,-1.8999999999999995,
