country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-values
U.S.S.R.-Syria,dual,mistral_7B,0.5,5.0,5.0,0.0,[]
France-Algeria,dual,mistral_7B,0.5,8.0,8.0,0.0,[]
U.S.A.-Mexico,dual,mistral_7B,1.0,9.0,10.0,-1.0,[]
U.S.S.R.-Poland,dual,mistral_7B,1.0,8.0,1.0,7.0,[]
China-Albania,dual,mistral_7B,1.0,8.0,7.0,1.0,[]
U.S.A.-Israel,dual,mistral_7B,1.0,6.0,6.0,0.0,[]
Japan-Philippines,dual,mistral_7B,1.0,7.0,11.0,-4.0,[]
U.S.A.-Canada,dual,mistral_7B,1.0,7.0,6.0,1.0,[]
U.S.S.R.-Israel,dual,mistral_7B,1.0,5.0,4.0,1.0,[]
England-Ireland,dual,mistral_7B,1.0,16.0,16.0,0.0,[]
Germany-Austria,dual,mistral_7B,1.0,20.0,20.0,0.0,[]
U.S.S.R.-France,dual,mistral_7B,1.0,5.0,4.0,1.0,[]
Belgium-Luxembourg,dual,mistral_7B,1.0,9.0,9.0,0.0,[]
U.S.A.-U.S.S.R.,dual,mistral_7B,1.0,7.0,7.0,0.0,[]
China-North Korea,dual,mistral_7B,1.0,8.0,7.0,1.0,[]
India-Sri Lanka,dual,mistral_7B,1.0,6.0,8.0,-2.0,[]
U.S.A.-France,dual,mistral_7B,1.0,9.0,8.0,1.0,[]
U.S.S.R.-Cuba,dual,mistral_7B,1.0,4.0,3.0,1.0,[]
England-Jordan,dual,mistral_7B,1.0,7.0,7.0,0.0,[]
France-Israel,dual,mistral_7B,1.0,8.0,7.0,1.0,[]
U.S.A.-Germany,dual,mistral_7B,1.0,8.0,8.0,0.0,[]
U.S.S.R.-Syria,dual,mistral_7B,1.0,8.0,5.0,3.0,[]
France-Algeria,dual,mistral_7B,1.0,15.0,13.0,2.0,[]
U.S.A.-Mexico,dual,mistral_7B,1.5,9.0,18.0,-9.0,[]
U.S.S.R.-Poland,dual,mistral_7B,1.5,6.0,5.0,1.0,[]
China-Albania,dual,mistral_7B,1.5,4.0,1.0,3.0,[]
U.S.A.-Israel,dual,mistral_7B,1.5,8.0,7.0,1.0,[]
Japan-Philippines,dual,mistral_7B,1.5,8.0,7.0,1.0,[]
U.S.A.-Canada,dual,mistral_7B,1.5,7.0,8.0,-1.0,[]
U.S.S.R.-Israel,dual,mistral_7B,1.5,3.0,4.0,-1.0,[]
England-Ireland,dual,mistral_7B,1.5,8.0,9.0,-1.0,[]
Germany-Austria,dual,mistral_7B,1.5,7.0,9.0,-2.0,[]
U.S.S.R.-France,dual,mistral_7B,1.5,0.0,7.0,-7.0,[]
Belgium-Luxembourg,dual,mistral_7B,1.5,7.0,7.0,0.0,[]
U.S.A.-U.S.S.R.,dual,mistral_7B,1.5,8.0,6.0,2.0,[]
China-North Korea,dual,mistral_7B,1.5,5.0,5.0,0.0,[]
India-Sri Lanka,dual,mistral_7B,1.5,9.0,1.0,8.0,[]
U.S.A.-France,dual,mistral_7B,1.5,8.0,9.0,-1.0,[]
U.S.S.R.-Cuba,dual,mistral_7B,1.5,6.0,7.0,-1.0,[]
England-Jordan,dual,mistral_7B,1.5,8.0,1.0,7.0,[]
France-Israel,dual,mistral_7B,1.5,5.0,5.0,0.0,[]
U.S.A.-Germany,dual,mistral_7B,1.5,9.0,8.0,1.0,[]
U.S.S.R.-Syria,dual,mistral_7B,1.5,5.0,7.0,-2.0,[]
France-Algeria,dual,mistral_7B,1.5,5.0,6.0,-1.0,[]
U.S.A.-Mexico,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
U.S.S.R.-Poland,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
China-Albania,dual,llama2_7B,0.001,5.0,10.0,-5.0,[]
U.S.A.-Israel,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
Japan-Philippines,dual,llama2_7B,0.001,5.0,10.0,-5.0,[]
U.S.A.-Canada,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
U.S.S.R.-Israel,dual,llama2_7B,0.001,5.0,10.0,-5.0,[]
England-Ireland,dual,llama2_7B,0.001,15.0,10.0,5.0,[]
Germany-Austria,dual,llama2_7B,0.001,15.0,10.0,5.0,[]
U.S.S.R.-France,dual,llama2_7B,0.001,5.0,10.0,-5.0,[]
Belgium-Luxembourg,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
U.S.A.-U.S.S.R.,dual,llama2_7B,0.001,5.0,10.0,-5.0,[]
China-North Korea,dual,llama2_7B,0.001,5.0,10.0,-5.0,[]
India-Sri Lanka,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
U.S.A.-France,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
U.S.S.R.-Cuba,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
England-Jordan,dual,llama2_7B,0.001,5.0,10.0,-5.0,[]
France-Israel,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
U.S.A.-Germany,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
U.S.S.R.-Syria,dual,llama2_7B,0.001,5.0,10.0,-5.0,[]
France-Algeria,dual,llama2_7B,0.001,10.0,5.0,5.0,[]
U.S.A.-Mexico,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
U.S.S.R.-Poland,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
China-Albania,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
U.S.A.-Israel,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
Japan-Philippines,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
U.S.A.-Canada,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
U.S.S.R.-Israel,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
England-Ireland,dual,llama2_7B,0.5,15.0,10.0,5.0,[]
Germany-Austria,dual,llama2_7B,0.5,15.0,10.0,5.0,[]
U.S.S.R.-France,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
Belgium-Luxembourg,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
U.S.A.-U.S.S.R.,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
China-North Korea,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
India-Sri Lanka,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
U.S.A.-France,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
U.S.S.R.-Cuba,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
England-Jordan,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
France-Israel,dual,llama2_7B,0.5,15.0,5.0,10.0,[]
U.S.A.-Germany,dual,llama2_7B,0.5,10.0,5.0,5.0,[]
U.S.S.R.-Syria,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
France-Algeria,dual,llama2_7B,0.5,5.0,10.0,-5.0,[]
U.S.A.-Mexico,dual,llama2_7B,1.0,8.0,6.0,2.0,[]
U.S.S.R.-Poland,dual,llama2_7B,1.0,8.0,4.0,4.0,[]
China-Albania,dual,llama2_7B,1.0,5.0,10.0,-5.0,[]
U.S.A.-Israel,dual,llama2_7B,1.0,8.0,15.0,-7.0,[]
Japan-Philippines,dual,llama2_7B,1.0,5.0,10.0,-5.0,[]
U.S.A.-Canada,dual,llama2_7B,1.0,10.0,5.0,5.0,[]
U.S.S.R.-Israel,dual,llama2_7B,1.0,5.0,10.0,-5.0,[]
England-Ireland,dual,llama2_7B,1.0,8.0,6.0,2.0,[]
Germany-Austria,dual,llama2_7B,1.0,15.0,8.0,7.0,[]
U.S.S.R.-France,dual,llama2_7B,1.0,5.0,10.0,-5.0,[]
Belgium-Luxembourg,dual,llama2_7B,1.0,10.0,5.0,5.0,[]
U.S.A.-U.S.S.R.,dual,llama2_7B,1.0,5.0,10.0,-5.0,[]
China-North Korea,dual,llama2_7B,1.0,5.0,8.0,-3.0,[]
India-Sri Lanka,dual,llama2_7B,1.0,10.0,5.0,5.0,[]
U.S.A.-France,dual,llama2_7B,1.0,8.0,15.0,-7.0,[]
U.S.S.R.-Cuba,dual,llama2_7B,1.0,10.0,5.0,5.0,[]
England-Jordan,dual,llama2_7B,1.0,10.0,5.0,5.0,[]
France-Israel,dual,llama2_7B,1.0,10.0,5.0,5.0,[]
U.S.A.-Germany,dual,llama2_7B,1.0,10.0,5.0,5.0,[]
U.S.S.R.-Syria,dual,llama2_7B,1.0,0.0,0.0,0.0,[]
France-Algeria,dual,llama2_7B,1.0,10.0,5.0,5.0,[]
U.S.A.-Mexico,dual,llama2_7B,1.5,10.0,5.0,5.0,[]
U.S.S.R.-Poland,dual,llama2_7B,1.5,10.0,5.0,5.0,[]
China-Albania,dual,llama2_7B,1.5,5.0,10.0,-5.0,[]
U.S.A.-Israel,dual,llama2_7B,1.5,8.0,15.0,-7.0,[]
Japan-Philippines,dual,llama2_7B,1.5,5.0,10.0,-5.0,[]
U.S.A.-Canada,dual,llama2_7B,1.5,10.0,5.0,5.0,[]
U.S.S.R.-Israel,dual,llama2_7B,1.5,5.0,8.0,-3.0,[]
England-Ireland,dual,llama2_7B,1.5,8.0,6.0,2.0,[]
Germany-Austria,dual,llama2_7B,1.5,15.0,10.0,5.0,[]
U.S.S.R.-France,dual,llama2_7B,1.5,5.0,10.0,-5.0,[]
Belgium-Luxembourg,dual,llama2_7B,1.5,10.0,5.0,5.0,[]
U.S.A.-U.S.S.R.,dual,llama2_7B,1.5,5.0,8.0,-3.0,[]
China-North Korea,dual,llama2_7B,1.5,5.0,10.0,-5.0,[]
India-Sri Lanka,dual,llama2_7B,1.5,10.0,5.0,5.0,[]
U.S.A.-France,dual,llama2_7B,1.5,8.0,15.0,-7.0,[]
U.S.S.R.-Cuba,dual,llama2_7B,1.5,8.0,15.0,-7.0,[]
England-Jordan,dual,llama2_7B,1.5,10.0,5.0,5.0,[]
France-Israel,dual,llama2_7B,1.5,15.0,8.0,7.0,[]
U.S.A.-Germany,dual,llama2_7B,1.5,10.0,5.0,5.0,[]
U.S.S.R.-Syria,dual,llama2_7B,1.5,5.0,10.0,-5.0,[]
France-Algeria,dual,llama2_7B,1.5,5.0,10.0,-5.0,[]
U.S.A.-Mexico,dual,llama3_8B,0.001,12.0,12.0,0.0,[]
U.S.S.R.-Poland,dual,llama3_8B,0.001,4.0,4.0,0.0,[]
China-Albania,dual,llama3_8B,0.001,4.0,4.0,0.0,[]
U.S.A.-Israel,dual,llama3_8B,0.001,6.0,6.0,0.0,[]
Japan-Philippines,dual,llama3_8B,0.001,12.0,12.0,0.0,[]
U.S.A.-Canada,dual,llama3_8B,0.001,18.0,18.0,0.0,[]
U.S.S.R.-Israel,dual,llama3_8B,0.001,0.0,0.0,0.0,[]
England-Ireland,dual,llama3_8B,0.001,18.0,18.0,0.0,[]
Germany-Austria,dual,llama3_8B,0.001,18.0,18.0,0.0,[]
U.S.S.R.-France,dual,llama3_8B,0.001,0.0,0.0,0.0,[]
Belgium-Luxembourg,dual,llama3_8B,0.001,18.0,18.0,0.0,[]
U.S.A.-U.S.S.R.,dual,llama3_8B,0.001,0.0,0.0,0.0,[]
China-North Korea,dual,llama3_8B,0.001,18.0,18.0,0.0,[]
India-Sri Lanka,dual,llama3_8B,0.001,18.0,18.0,0.0,[]
U.S.A.-France,dual,llama3_8B,0.001,4.0,4.0,0.0,[]
U.S.S.R.-Cuba,dual,llama3_8B,0.001,4.0,4.0,0.0,[]
England-Jordan,dual,llama3_8B,0.001,4.0,4.0,0.0,[]
France-Israel,dual,llama3_8B,0.001,4.0,4.0,0.0,[]
U.S.A.-Germany,dual,llama3_8B,0.001,6.0,6.0,0.0,[]
U.S.S.R.-Syria,dual,llama3_8B,0.001,0.0,0.0,0.0,[]
France-Algeria,dual,llama3_8B,0.001,12.0,12.0,0.0,[]
U.S.A.-Mexico,dual,llama3_8B,0.5,14.0,14.0,0.0,[]
U.S.S.R.-Poland,dual,llama3_8B,0.5,4.0,4.0,0.0,[]
China-Albania,dual,llama3_8B,0.5,4.0,4.0,0.0,[]
U.S.A.-Israel,dual,llama3_8B,0.5,10.0,10.0,0.0,[]
Japan-Philippines,dual,llama3_8B,0.5,10.0,10.0,0.0,[]
U.S.A.-Canada,dual,llama3_8B,0.5,18.0,18.0,0.0,[]
U.S.S.R.-Israel,dual,llama3_8B,0.5,0.0,0.0,0.0,[]
England-Ireland,dual,llama3_8B,0.5,15.0,15.0,0.0,[]
Germany-Austria,dual,llama3_8B,0.5,18.0,18.0,0.0,[]
U.S.S.R.-France,dual,llama3_8B,0.5,4.0,4.0,0.0,[]
Belgium-Luxembourg,dual,llama3_8B,0.5,18.0,18.0,0.0,[]
U.S.A.-U.S.S.R.,dual,llama3_8B,0.5,0.0,0.0,0.0,[]
China-North Korea,dual,llama3_8B,0.5,18.0,18.0,0.0,[]
India-Sri Lanka,dual,llama3_8B,0.5,18.0,18.0,0.0,[]
U.S.A.-France,dual,llama3_8B,0.5,6.0,6.0,0.0,[]
U.S.S.R.-Cuba,dual,llama3_8B,0.5,4.0,4.0,0.0,[]
England-Jordan,dual,llama3_8B,0.5,4.0,4.0,0.0,[]
France-Israel,dual,llama3_8B,0.5,4.0,4.0,0.0,[]
U.S.A.-Germany,dual,llama3_8B,0.5,8.0,8.0,0.0,[]
U.S.S.R.-Syria,dual,llama3_8B,0.5,0.0,0.0,0.0,[]
France-Algeria,dual,llama3_8B,0.5,18.0,18.0,0.0,[]
U.S.A.-Mexico,dual,llama3_8B,1.0,10.0,12.0,-2.0,[]
U.S.S.R.-Poland,dual,llama3_8B,1.0,5.0,5.0,0.0,[]
China-Albania,dual,llama3_8B,1.0,4.0,4.0,0.0,[]
U.S.A.-Israel,dual,llama3_8B,1.0,8.0,8.0,0.0,[]
Japan-Philippines,dual,llama3_8B,1.0,8.0,8.0,0.0,[]
U.S.A.-Canada,dual,llama3_8B,1.0,16.0,16.0,0.0,[]
U.S.S.R.-Israel,dual,llama3_8B,1.0,0.0,0.0,0.0,[]
England-Ireland,dual,llama3_8B,1.0,15.0,15.0,0.0,[]
Germany-Austria,dual,llama3_8B,1.0,18.0,18.0,0.0,[]
U.S.S.R.-France,dual,llama3_8B,1.0,4.0,0.0,4.0,[]
Belgium-Luxembourg,dual,llama3_8B,1.0,15.0,15.0,0.0,[]
U.S.A.-U.S.S.R.,dual,llama3_8B,1.0,4.0,4.0,0.0,[]
China-North Korea,dual,llama3_8B,1.0,15.0,15.0,0.0,[]
India-Sri Lanka,dual,llama3_8B,1.0,15.0,15.0,0.0,[]
U.S.A.-France,dual,llama3_8B,1.0,4.0,6.0,-2.0,[]
U.S.S.R.-Cuba,dual,llama3_8B,1.0,4.0,4.0,0.0,[]
England-Jordan,dual,llama3_8B,1.0,4.0,4.0,0.0,[]
France-Israel,dual,llama3_8B,1.0,4.0,4.0,0.0,[]
U.S.A.-Germany,dual,llama3_8B,1.0,8.0,8.0,0.0,[]
U.S.S.R.-Syria,dual,llama3_8B,1.0,0.0,0.0,0.0,[]
France-Algeria,dual,llama3_8B,1.0,16.0,16.0,0.0,[]
U.S.A.-Mexico,dual,llama3_8B,1.5,15.0,15.0,0.0,[]
U.S.S.R.-Poland,dual,llama3_8B,1.5,4.0,4.0,0.0,[]
China-Albania,dual,llama3_8B,1.5,5.0,5.0,0.0,[]
U.S.A.-Israel,dual,llama3_8B,1.5,4.0,4.0,0.0,[]
Japan-Philippines,dual,llama3_8B,1.5,14.0,14.0,0.0,[]
U.S.A.-Canada,dual,llama3_8B,1.5,18.0,18.0,0.0,[]
U.S.S.R.-Israel,dual,llama3_8B,1.5,0.0,0.0,0.0,[]
England-Ireland,dual,llama3_8B,1.5,15.0,15.0,0.0,[]
Germany-Austria,dual,llama3_8B,1.5,18.0,18.0,0.0,[]
U.S.S.R.-France,dual,llama3_8B,1.5,0.0,0.0,0.0,[]
Belgium-Luxembourg,dual,llama3_8B,1.5,15.0,15.0,0.0,[]
U.S.A.-U.S.S.R.,dual,llama3_8B,1.5,4.0,4.0,0.0,[]
China-North Korea,dual,llama3_8B,1.5,18.0,18.0,0.0,[]
India-Sri Lanka,dual,llama3_8B,1.5,14.0,14.0,0.0,[]
U.S.A.-France,dual,llama3_8B,1.5,4.0,4.0,0.0,[]
U.S.S.R.-Cuba,dual,llama3_8B,1.5,4.0,4.0,0.0,[]
England-Jordan,dual,llama3_8B,1.5,4.0,4.0,0.0,[]
France-Israel,dual,llama3_8B,1.5,8.0,8.0,0.0,[]
U.S.A.-Germany,dual,llama3_8B,1.5,6.0,6.0,0.0,[]
U.S.S.R.-Syria,dual,llama3_8B,1.5,0.0,0.0,0.0,[]
France-Algeria,dual,llama3_8B,1.5,18.0,18.0,0.0,[]
U.S.A.-Mexico,dual,llama2_13B,0.001,15.0,12.0,3.0,[]
U.S.S.R.-Poland,dual,llama2_13B,0.001,5.0,8.0,-3.0,[]
China-Albania,dual,llama2_13B,0.001,5.0,8.0,-3.0,[]
U.S.A.-Israel,dual,llama2_13B,0.001,15.0,10.0,5.0,[]
Japan-Philippines,dual,llama2_13B,0.001,15.0,10.0,5.0,[]
U.S.A.-Canada,dual,llama2_13B,0.001,15.0,12.0,3.0,[]
U.S.S.R.-Israel,dual,llama2_13B,0.001,5.0,8.0,-3.0,[]
England-Ireland,dual,llama2_13B,0.001,15.0,10.0,5.0,[]
Germany-Austria,dual,llama2_13B,0.001,15.0,18.0,-3.0,[]
U.S.S.R.-France,dual,llama2_13B,0.001,5.0,8.0,-3.0,[]
Belgium-Luxembourg,dual,llama2_13B,0.001,15.0,18.0,-3.0,[]
U.S.A.-U.S.S.R.,dual,llama2_13B,0.001,5.0,8.0,-3.0,[]
China-North Korea,dual,llama2_13B,0.001,5.0,8.0,-3.0,[]
India-Sri Lanka,dual,llama2_13B,0.001,15.0,10.0,5.0,[]
U.S.A.-France,dual,llama2_13B,0.001,10.0,8.0,2.0,[]
U.S.S.R.-Cuba,dual,llama2_13B,0.001,15.0,8.0,7.0,[]
England-Jordan,dual,llama2_13B,0.001,8.0,4.0,4.0,[]
France-Israel,dual,llama2_13B,0.001,12.0,15.0,-3.0,[]
U.S.A.-Germany,dual,llama2_13B,0.001,15.0,12.0,3.0,[]
U.S.S.R.-Syria,dual,llama2_13B,0.001,5.0,8.0,-3.0,[]
France-Algeria,dual,llama2_13B,0.001,10.0,8.0,2.0,[]
U.S.A.-Mexico,dual,llama2_13B,0.5,15.0,10.0,5.0,[]
U.S.S.R.-Poland,dual,llama2_13B,0.5,5.0,8.0,-3.0,[]
China-Albania,dual,llama2_13B,0.5,5.0,8.0,-3.0,[]
U.S.A.-Israel,dual,llama2_13B,0.5,15.0,12.0,3.0,[]
Japan-Philippines,dual,llama2_13B,0.5,15.0,10.0,5.0,[]
U.S.A.-Canada,dual,llama2_13B,0.5,15.0,10.0,5.0,[]
U.S.S.R.-Israel,dual,llama2_13B,0.5,5.0,8.0,-3.0,[]
England-Ireland,dual,llama2_13B,0.5,15.0,18.0,-3.0,[]
Germany-Austria,dual,llama2_13B,0.5,15.0,18.0,-3.0,[]
U.S.S.R.-France,dual,llama2_13B,0.5,5.0,8.0,-3.0,[]
Belgium-Luxembourg,dual,llama2_13B,0.5,15.0,18.0,-3.0,[]
U.S.A.-U.S.S.R.,dual,llama2_13B,0.5,5.0,8.0,-3.0,[]
China-North Korea,dual,llama2_13B,0.5,5.0,8.0,-3.0,[]
India-Sri Lanka,dual,llama2_13B,0.5,15.0,10.0,5.0,[]
U.S.A.-France,dual,llama2_13B,0.5,8.0,4.0,4.0,[]
U.S.S.R.-Cuba,dual,llama2_13B,0.5,15.0,8.0,7.0,[]
England-Jordan,dual,llama2_13B,0.5,12.0,8.0,4.0,[]
France-Israel,dual,llama2_13B,0.5,12.0,10.0,2.0,[]
U.S.A.-Germany,dual,llama2_13B,0.5,15.0,12.0,3.0,[]
U.S.S.R.-Syria,dual,llama2_13B,0.5,5.0,8.0,-3.0,[]
France-Algeria,dual,llama2_13B,0.5,10.0,8.0,2.0,[]
U.S.A.-Mexico,dual,llama2_13B,1.0,15.0,12.0,3.0,[]
U.S.S.R.-Poland,dual,llama2_13B,1.0,5.0,8.0,-3.0,[]
China-Albania,dual,llama2_13B,1.0,5.0,8.0,-3.0,[]
U.S.A.-Israel,dual,llama2_13B,1.0,15.0,10.0,5.0,[]
Japan-Philippines,dual,llama2_13B,1.0,8.0,12.0,-4.0,[]
U.S.A.-Canada,dual,llama2_13B,1.0,15.0,12.0,3.0,[]
U.S.S.R.-Israel,dual,llama2_13B,1.0,5.0,8.0,-3.0,[]
England-Ireland,dual,llama2_13B,1.0,15.0,10.0,5.0,[]
Germany-Austria,dual,llama2_13B,1.0,15.0,12.0,3.0,[]
U.S.S.R.-France,dual,llama2_13B,1.0,5.0,10.0,-5.0,[]
Belgium-Luxembourg,dual,llama2_13B,1.0,16.0,14.0,2.0,[]
U.S.A.-U.S.S.R.,dual,llama2_13B,1.0,5.0,8.0,-3.0,[]
China-North Korea,dual,llama2_13B,1.0,5.0,8.0,-3.0,[]
India-Sri Lanka,dual,llama2_13B,1.0,16.0,14.0,2.0,[]
U.S.A.-France,dual,llama2_13B,1.0,8.0,4.0,4.0,[]
U.S.S.R.-Cuba,dual,llama2_13B,1.0,5.0,8.0,-3.0,[]
England-Jordan,dual,llama2_13B,1.0,6.0,8.0,-2.0,[]
France-Israel,dual,llama2_13B,1.0,12.0,8.0,4.0,[]
U.S.A.-Germany,dual,llama2_13B,1.0,15.0,12.0,3.0,[]
U.S.S.R.-Syria,dual,llama2_13B,1.0,5.0,8.0,-3.0,[]
France-Algeria,dual,llama2_13B,1.0,8.0,3.0,5.0,[]
U.S.A.-Mexico,dual,llama2_13B,1.5,15.0,10.0,5.0,[]
U.S.S.R.-Poland,dual,llama2_13B,1.5,5.0,8.0,-3.0,[]
China-Albania,dual,llama2_13B,1.5,5.0,8.0,-3.0,[]
U.S.A.-Israel,dual,llama2_13B,1.5,15.0,12.0,3.0,[]
Japan-Philippines,dual,llama2_13B,1.5,8.0,10.0,-2.0,[]
U.S.A.-Canada,dual,llama2_13B,1.5,16.0,14.0,2.0,[]
U.S.S.R.-Israel,dual,llama2_13B,1.5,5.0,8.0,-3.0,[]
England-Ireland,dual,llama2_13B,1.5,14.0,10.0,4.0,[]
Germany-Austria,dual,llama2_13B,1.5,15.0,18.0,-3.0,[]
U.S.S.R.-France,dual,llama2_13B,1.5,5.0,8.0,-3.0,[]
Belgium-Luxembourg,dual,llama2_13B,1.5,15.0,10.0,5.0,[]
U.S.A.-U.S.S.R.,dual,llama2_13B,1.5,10.0,15.0,-5.0,[]
China-North Korea,dual,llama2_13B,1.5,5.0,8.0,-3.0,[]
India-Sri Lanka,dual,llama2_13B,1.5,15.0,18.0,-3.0,[]
U.S.A.-France,dual,llama2_13B,1.5,10.0,8.0,2.0,[]
U.S.S.R.-Cuba,dual,llama2_13B,1.5,15.0,10.0,5.0,[]
England-Jordan,dual,llama2_13B,1.5,10.0,8.0,2.0,[]
France-Israel,dual,llama2_13B,1.5,12.0,15.0,-3.0,[]
U.S.A.-Germany,dual,llama2_13B,1.5,14.0,16.0,-2.0,[]
U.S.S.R.-Syria,dual,llama2_13B,1.5,5.0,8.0,-3.0,[]
France-Algeria,dual,llama2_13B,1.5,10.0,5.0,5.0,[]
U.S.A.-Mexico,dual,llama2_70B,0.001,10.0,15.0,-5.0,[]
U.S.S.R.-Poland,dual,llama2_70B,0.001,10.0,15.0,-5.0,[]
China-Albania,dual,llama2_70B,0.001,5.0,10.0,-5.0,[]
U.S.A.-Israel,dual,llama2_70B,0.001,15.0,18.0,-3.0,[]
Japan-Philippines,dual,llama2_70B,0.001,12.0,15.0,-3.0,[]
U.S.A.-Canada,dual,llama2_70B,0.001,15.0,17.0,-2.0,[]
U.S.S.R.-Israel,dual,llama2_70B,0.001,5.0,8.0,-3.0,[]
England-Ireland,dual,llama2_70B,0.001,15.0,17.0,-2.0,[]
Germany-Austria,dual,llama2_70B,0.001,15.0,15.0,0.0,[]
U.S.S.R.-France,dual,llama2_70B,0.001,8.0,12.0,-4.0,[]
Belgium-Luxembourg,dual,llama2_70B,0.001,15.0,17.0,-2.0,[]
U.S.A.-U.S.S.R.,dual,llama2_70B,0.001,10.0,15.0,-5.0,[]
China-North Korea,dual,llama2_70B,0.001,12.0,15.0,-3.0,[]
India-Sri Lanka,dual,llama2_70B,0.001,15.0,17.0,-2.0,[]
U.S.A.-France,dual,llama2_70B,0.001,12.0,15.0,-3.0,[]
U.S.S.R.-Cuba,dual,llama2_70B,0.001,15.0,10.0,5.0,[]
England-Jordan,dual,llama2_70B,0.001,8.0,12.0,-4.0,[]
France-Israel,dual,llama2_70B,0.001,8.0,12.0,-4.0,[]
