,country_pair,model_name,temperature,non_zero_score_diff
228,Germany-Austria,gpt-4,0.001,0
229,Germany-Austria,gpt-4,0.5,0
230,Germany-Austria,gpt-4,1.0,0
231,Germany-Austria,gpt-4,1.5,1
232,Germany-Austria,llama2_13B,0.001,0
233,Germany-Austria,llama2_13B,0.5,0
234,Germany-Austria,llama2_13B,1.0,0
235,Germany-Austria,llama2_13B,1.5,1
236,Germany-Austria,llama2_70B,0.001,0
237,Germany-Austria,llama2_70B,0.5,0
238,Germany-Austria,llama2_70B,1.0,1
239,Germany-Austria,llama2_70B,1.5,0
240,Germany-Austria,llama2_7B,0.001,0
241,Germany-Austria,llama2_7B,0.5,0
242,Germany-Austria,llama2_7B,1.0,0
243,Germany-Austria,llama2_7B,1.5,0
244,Germany-Austria,llama3_70B,0.001,0
245,Germany-Austria,llama3_70B,0.5,1
246,Germany-Austria,llama3_70B,1.0,0
247,Germany-Austria,llama3_70B,1.5,1
248,Germany-Austria,llama3_8B,0.001,1
249,Germany-Austria,llama3_8B,0.5,1
250,Germany-Austria,llama3_8B,1.0,0
251,Germany-Austria,llama3_8B,1.5,1
252,Germany-Austria,mistral_7B,0.001,0
253,Germany-Austria,mistral_7B,0.5,1
254,Germany-Austria,mistral_7B,1.0,1
255,Germany-Austria,mistral_7B,1.5,1
256,India-Sri Lanka,gpt-3.5-turbo,0.001,0
257,India-Sri Lanka,gpt-3.5-turbo,0.5,0
258,India-Sri Lanka,gpt-3.5-turbo,1.0,0
259,India-Sri Lanka,gpt-3.5-turbo,1.5,1
260,India-Sri Lanka,gpt-4,0.001,1
261,India-Sri Lanka,gpt-4,0.5,0
262,India-Sri Lanka,gpt-4,1.0,1
263,India-Sri Lanka,gpt-4,1.5,1
264,India-Sri Lanka,llama2_13B,0.001,1
265,India-Sri Lanka,llama2_13B,0.5,0
266,India-Sri Lanka,llama2_13B,1.0,1
267,India-Sri Lanka,llama2_13B,1.5,1
268,India-Sri Lanka,llama2_70B,0.001,0
269,India-Sri Lanka,llama2_70B,0.5,0
270,India-Sri Lanka,llama2_70B,1.0,0
271,India-Sri Lanka,llama2_70B,1.5,0
272,India-Sri Lanka,llama2_7B,0.001,0
273,India-Sri Lanka,llama2_7B,0.5,0
274,India-Sri Lanka,llama2_7B,1.0,0
275,India-Sri Lanka,llama2_7B,1.5,0
276,India-Sri Lanka,llama3_70B,0.001,0
277,India-Sri Lanka,llama3_70B,0.5,0
278,India-Sri Lanka,llama3_70B,1.0,0
279,India-Sri Lanka,llama3_70B,1.5,0
280,India-Sri Lanka,llama3_8B,0.001,1
281,India-Sri Lanka,llama3_8B,0.5,0
282,India-Sri Lanka,llama3_8B,1.0,1
283,India-Sri Lanka,llama3_8B,1.5,0
284,India-Sri Lanka,mistral_7B,0.001,1
285,India-Sri Lanka,mistral_7B,0.5,1
286,India-Sri Lanka,mistral_7B,1.0,0
287,India-Sri Lanka,mistral_7B,1.5,0
288,Japan-Philippines,gpt-3.5-turbo,0.001,0
289,Japan-Philippines,gpt-3.5-turbo,0.5,1
290,Japan-Philippines,gpt-3.5-turbo,1.0,1
291,Japan-Philippines,gpt-3.5-turbo,1.5,1
292,Japan-Philippines,gpt-4,0.001,1
293,Japan-Philippines,gpt-4,0.5,1
294,Japan-Philippines,gpt-4,1.0,1
295,Japan-Philippines,gpt-4,1.5,1
296,Japan-Philippines,llama2_13B,0.001,0
297,Japan-Philippines,llama2_13B,0.5,1
298,Japan-Philippines,llama2_13B,1.0,1
299,Japan-Philippines,llama2_13B,1.5,1
300,Japan-Philippines,llama2_70B,0.001,0
301,Japan-Philippines,llama2_70B,0.5,0
302,Japan-Philippines,llama2_70B,1.0,0
303,Japan-Philippines,llama2_70B,1.5,1
304,Japan-Philippines,llama2_7B,0.001,1
305,Japan-Philippines,llama2_7B,0.5,0
306,Japan-Philippines,llama2_7B,1.0,0
307,Japan-Philippines,llama2_7B,1.5,0
308,Japan-Philippines,llama3_70B,0.001,0
309,Japan-Philippines,llama3_70B,0.5,0
310,Japan-Philippines,llama3_70B,1.0,0
311,Japan-Philippines,llama3_70B,1.5,0
312,Japan-Philippines,llama3_8B,0.001,1
313,Japan-Philippines,llama3_8B,0.5,1
314,Japan-Philippines,llama3_8B,1.0,1
315,Japan-Philippines,llama3_8B,1.5,1
316,Japan-Philippines,mistral_7B,0.001,0
317,Japan-Philippines,mistral_7B,0.5,1
318,Japan-Philippines,mistral_7B,1.0,1
319,Japan-Philippines,mistral_7B,1.5,1
320,U.S.A.-Canada,gpt-3.5-turbo,0.001,0
321,U.S.A.-Canada,gpt-3.5-turbo,0.5,0
322,U.S.A.-Canada,gpt-3.5-turbo,1.0,1
323,U.S.A.-Canada,gpt-3.5-turbo,1.5,1
324,U.S.A.-Canada,gpt-4,0.001,0
325,U.S.A.-Canada,gpt-4,0.5,0
326,U.S.A.-Canada,gpt-4,1.0,0
327,U.S.A.-Canada,gpt-4,1.5,0
328,U.S.A.-Canada,llama2_13B,0.001,0
329,U.S.A.-Canada,llama2_13B,0.5,0
330,U.S.A.-Canada,llama2_13B,1.0,0
331,U.S.A.-Canada,llama2_13B,1.5,0
332,U.S.A.-Canada,llama2_70B,0.001,1
333,U.S.A.-Canada,llama2_70B,0.5,0
334,U.S.A.-Canada,llama2_70B,1.0,1
335,U.S.A.-Canada,llama2_70B,1.5,0
336,U.S.A.-Canada,llama2_7B,0.001,0
337,U.S.A.-Canada,llama2_7B,0.5,0
338,U.S.A.-Canada,llama2_7B,1.0,0
339,U.S.A.-Canada,llama2_7B,1.5,0
340,U.S.A.-Canada,llama3_70B,0.001,0
341,U.S.A.-Canada,llama3_70B,0.5,1
342,U.S.A.-Canada,llama3_70B,1.0,0
343,U.S.A.-Canada,llama3_70B,1.5,0
344,U.S.A.-Canada,llama3_8B,0.001,0
345,U.S.A.-Canada,llama3_8B,0.5,1
346,U.S.A.-Canada,llama3_8B,1.0,0
347,U.S.A.-Canada,llama3_8B,1.5,1
348,U.S.A.-Canada,mistral_7B,0.001,0
349,U.S.A.-Canada,mistral_7B,0.5,1
350,U.S.A.-Canada,mistral_7B,1.0,1
351,U.S.A.-Canada,mistral_7B,1.5,1
352,U.S.A.-France,gpt-3.5-turbo,0.001,1
353,U.S.A.-France,gpt-3.5-turbo,0.5,1
354,U.S.A.-France,gpt-3.5-turbo,1.0,1
355,U.S.A.-France,gpt-3.5-turbo,1.5,1
356,U.S.A.-France,gpt-4,0.001,1
357,U.S.A.-France,gpt-4,0.5,1
358,U.S.A.-France,gpt-4,1.0,0
359,U.S.A.-France,gpt-4,1.5,1
360,U.S.A.-France,llama2_13B,0.001,0
361,U.S.A.-France,llama2_13B,0.5,0
362,U.S.A.-France,llama2_13B,1.0,1
363,U.S.A.-France,llama2_13B,1.5,1
364,U.S.A.-France,llama2_70B,0.001,0
365,U.S.A.-France,llama2_70B,0.5,1
366,U.S.A.-France,llama2_70B,1.0,1
367,U.S.A.-France,llama2_70B,1.5,0
368,U.S.A.-France,llama2_7B,0.001,1
369,U.S.A.-France,llama2_7B,0.5,1
370,U.S.A.-France,llama2_7B,1.0,0
371,U.S.A.-France,llama2_7B,1.5,0
372,U.S.A.-France,llama3_70B,0.001,0
373,U.S.A.-France,llama3_70B,0.5,0
374,U.S.A.-France,llama3_70B,1.0,0
375,U.S.A.-France,llama3_70B,1.5,1
376,U.S.A.-France,llama3_8B,0.001,1
377,U.S.A.-France,llama3_8B,0.5,1
378,U.S.A.-France,llama3_8B,1.0,1
379,U.S.A.-France,llama3_8B,1.5,1
380,U.S.A.-France,mistral_7B,0.001,1
381,U.S.A.-France,mistral_7B,0.5,1
382,U.S.A.-France,mistral_7B,1.0,1
383,U.S.A.-France,mistral_7B,1.5,1
384,U.S.A.-Germany,gpt-3.5-turbo,0.001,0
385,U.S.A.-Germany,gpt-3.5-turbo,0.5,0
386,U.S.A.-Germany,gpt-3.5-turbo,1.0,1
387,U.S.A.-Germany,gpt-3.5-turbo,1.5,0
388,U.S.A.-Germany,gpt-4,0.001,1
389,U.S.A.-Germany,gpt-4,0.5,1
390,U.S.A.-Germany,gpt-4,1.0,0
391,U.S.A.-Germany,gpt-4,1.5,0
392,U.S.A.-Germany,llama2_13B,0.001,0
393,U.S.A.-Germany,llama2_13B,0.5,1
394,U.S.A.-Germany,llama2_13B,1.0,1
395,U.S.A.-Germany,llama2_13B,1.5,1
396,U.S.A.-Germany,llama2_70B,0.001,0
397,U.S.A.-Germany,llama2_70B,0.5,1
398,U.S.A.-Germany,llama2_70B,1.0,0
399,U.S.A.-Germany,llama2_70B,1.5,0
400,U.S.A.-Germany,llama2_7B,0.001,0
401,U.S.A.-Germany,llama2_7B,0.5,0
402,U.S.A.-Germany,llama2_7B,1.0,1
403,U.S.A.-Germany,llama2_7B,1.5,0
404,U.S.A.-Germany,llama3_70B,0.001,1
405,U.S.A.-Germany,llama3_70B,0.5,1
406,U.S.A.-Germany,llama3_70B,1.0,1
407,U.S.A.-Germany,llama3_70B,1.5,0
408,U.S.A.-Germany,llama3_8B,0.001,0
409,U.S.A.-Germany,llama3_8B,0.5,0
410,U.S.A.-Germany,llama3_8B,1.0,0
411,U.S.A.-Germany,llama3_8B,1.5,1
412,U.S.A.-Germany,mistral_7B,0.001,0
413,U.S.A.-Germany,mistral_7B,0.5,1
414,U.S.A.-Germany,mistral_7B,1.0,1
415,U.S.A.-Germany,mistral_7B,1.5,1
416,U.S.A.-Israel,gpt-3.5-turbo,0.001,0
417,U.S.A.-Israel,gpt-3.5-turbo,0.5,0
418,U.S.A.-Israel,gpt-3.5-turbo,1.0,1
419,U.S.A.-Israel,gpt-3.5-turbo,1.5,0
420,U.S.A.-Israel,gpt-4,0.001,1
421,U.S.A.-Israel,gpt-4,0.5,0
422,U.S.A.-Israel,gpt-4,1.0,1
423,U.S.A.-Israel,gpt-4,1.5,1
424,U.S.A.-Israel,llama2_13B,0.001,0
425,U.S.A.-Israel,llama2_13B,0.5,0
426,U.S.A.-Israel,llama2_13B,1.0,0
427,U.S.A.-Israel,llama2_13B,1.5,1
428,U.S.A.-Israel,llama2_70B,0.001,0
429,U.S.A.-Israel,llama2_70B,0.5,0
430,U.S.A.-Israel,llama2_70B,1.0,1
431,U.S.A.-Israel,llama2_70B,1.5,1
432,U.S.A.-Israel,llama2_7B,0.001,0
433,U.S.A.-Israel,llama2_7B,0.5,0
434,U.S.A.-Israel,llama2_7B,1.0,0
435,U.S.A.-Israel,llama2_7B,1.5,1
436,U.S.A.-Israel,llama3_70B,0.001,1
437,U.S.A.-Israel,llama3_70B,0.5,1
438,U.S.A.-Israel,llama3_70B,1.0,1
439,U.S.A.-Israel,llama3_70B,1.5,1
440,U.S.A.-Israel,llama3_8B,0.001,1
441,U.S.A.-Israel,llama3_8B,0.5,1
442,U.S.A.-Israel,llama3_8B,1.0,1
443,U.S.A.-Israel,llama3_8B,1.5,1
444,U.S.A.-Israel,mistral_7B,0.001,1
445,U.S.A.-Israel,mistral_7B,0.5,1
446,U.S.A.-Israel,mistral_7B,1.0,1
447,U.S.A.-Israel,mistral_7B,1.5,1
448,U.S.A.-Mexico,gpt-3.5-turbo,0.001,1
449,U.S.A.-Mexico,gpt-3.5-turbo,0.5,0
450,U.S.A.-Mexico,gpt-3.5-turbo,1.0,1
451,U.S.A.-Mexico,gpt-3.5-turbo,1.5,0
452,U.S.A.-Mexico,gpt-4,0.001,1
453,U.S.A.-Mexico,gpt-4,0.5,1
454,U.S.A.-Mexico,gpt-4,1.0,1
455,U.S.A.-Mexico,gpt-4,1.5,1
456,U.S.A.-Mexico,llama2_13B,0.001,1
457,U.S.A.-Mexico,llama2_13B,0.5,1
458,U.S.A.-Mexico,llama2_13B,1.0,1
459,U.S.A.-Mexico,llama2_13B,1.5,1
460,U.S.A.-Mexico,llama2_70B,0.001,0
461,U.S.A.-Mexico,llama2_70B,0.5,0
462,U.S.A.-Mexico,llama2_70B,1.0,0
463,U.S.A.-Mexico,llama2_70B,1.5,0
464,U.S.A.-Mexico,llama2_7B,0.001,0
465,U.S.A.-Mexico,llama2_7B,0.5,0
466,U.S.A.-Mexico,llama2_7B,1.0,1
467,U.S.A.-Mexico,llama2_7B,1.5,1
468,U.S.A.-Mexico,llama3_70B,0.001,1
469,U.S.A.-Mexico,llama3_70B,0.5,1
470,U.S.A.-Mexico,llama3_70B,1.0,1
471,U.S.A.-Mexico,llama3_70B,1.5,1
472,U.S.A.-Mexico,llama3_8B,0.001,1
473,U.S.A.-Mexico,llama3_8B,0.5,0
474,U.S.A.-Mexico,llama3_8B,1.0,0
475,U.S.A.-Mexico,llama3_8B,1.5,1
476,U.S.A.-Mexico,mistral_7B,0.001,0
477,U.S.A.-Mexico,mistral_7B,0.5,0
478,U.S.A.-Mexico,mistral_7B,1.0,1
479,U.S.A.-Mexico,mistral_7B,1.5,0
480,U.S.A.-U.S.S.R.,gpt-3.5-turbo,0.001,1
481,U.S.A.-U.S.S.R.,gpt-3.5-turbo,0.5,1
482,U.S.A.-U.S.S.R.,gpt-3.5-turbo,1.0,1
483,U.S.A.-U.S.S.R.,gpt-3.5-turbo,1.5,1
484,U.S.A.-U.S.S.R.,gpt-4,0.001,0
485,U.S.A.-U.S.S.R.,gpt-4,0.5,1
486,U.S.A.-U.S.S.R.,gpt-4,1.0,1
487,U.S.A.-U.S.S.R.,gpt-4,1.5,1
488,U.S.A.-U.S.S.R.,llama2_13B,0.001,0
489,U.S.A.-U.S.S.R.,llama2_13B,0.5,0
490,U.S.A.-U.S.S.R.,llama2_13B,1.0,0
491,U.S.A.-U.S.S.R.,llama2_13B,1.5,1
492,U.S.A.-U.S.S.R.,llama2_70B,0.001,1
493,U.S.A.-U.S.S.R.,llama2_70B,0.5,1
494,U.S.A.-U.S.S.R.,llama2_70B,1.0,1
495,U.S.A.-U.S.S.R.,llama2_70B,1.5,1
496,U.S.A.-U.S.S.R.,llama2_7B,0.001,0
497,U.S.A.-U.S.S.R.,llama2_7B,0.5,0
498,U.S.A.-U.S.S.R.,llama2_7B,1.0,1
499,U.S.A.-U.S.S.R.,llama2_7B,1.5,1
500,U.S.A.-U.S.S.R.,llama3_70B,0.001,0
501,U.S.A.-U.S.S.R.,llama3_70B,0.5,1
502,U.S.A.-U.S.S.R.,llama3_70B,1.0,0
503,U.S.A.-U.S.S.R.,llama3_70B,1.5,1
504,U.S.A.-U.S.S.R.,llama3_8B,0.001,1
505,U.S.A.-U.S.S.R.,llama3_8B,0.5,0
506,U.S.A.-U.S.S.R.,llama3_8B,1.0,0
507,U.S.A.-U.S.S.R.,llama3_8B,1.5,1
508,U.S.A.-U.S.S.R.,mistral_7B,0.001,0
509,U.S.A.-U.S.S.R.,mistral_7B,0.5,1
510,U.S.A.-U.S.S.R.,mistral_7B,1.0,1
511,U.S.A.-U.S.S.R.,mistral_7B,1.5,1
512,U.S.S.R.-Cuba,gpt-3.5-turbo,0.001,0
513,U.S.S.R.-Cuba,gpt-3.5-turbo,0.5,0
514,U.S.S.R.-Cuba,gpt-3.5-turbo,1.0,0
515,U.S.S.R.-Cuba,gpt-3.5-turbo,1.5,0
516,U.S.S.R.-Cuba,gpt-4,0.001,0
517,U.S.S.R.-Cuba,gpt-4,0.5,0
518,U.S.S.R.-Cuba,gpt-4,1.0,1
519,U.S.S.R.-Cuba,gpt-4,1.5,1
520,U.S.S.R.-Cuba,llama2_13B,0.001,1
521,U.S.S.R.-Cuba,llama2_13B,0.5,1
522,U.S.S.R.-Cuba,llama2_13B,1.0,1
523,U.S.S.R.-Cuba,llama2_13B,1.5,0
524,U.S.S.R.-Cuba,llama2_70B,0.001,0
525,U.S.S.R.-Cuba,llama2_70B,0.5,0
526,U.S.S.R.-Cuba,llama2_70B,1.0,0
527,U.S.S.R.-Cuba,llama2_70B,1.5,1
528,U.S.S.R.-Cuba,llama2_7B,0.001,0
529,U.S.S.R.-Cuba,llama2_7B,0.5,0
530,U.S.S.R.-Cuba,llama2_7B,1.0,1
531,U.S.S.R.-Cuba,llama2_7B,1.5,0
532,U.S.S.R.-Cuba,llama3_70B,0.001,1
533,U.S.S.R.-Cuba,llama3_70B,0.5,1
534,U.S.S.R.-Cuba,llama3_70B,1.0,0
535,U.S.S.R.-Cuba,llama3_70B,1.5,1
536,U.S.S.R.-Cuba,llama3_8B,0.001,0
537,U.S.S.R.-Cuba,llama3_8B,0.5,0
538,U.S.S.R.-Cuba,llama3_8B,1.0,1
539,U.S.S.R.-Cuba,llama3_8B,1.5,1
540,U.S.S.R.-Cuba,mistral_7B,0.001,1
541,U.S.S.R.-Cuba,mistral_7B,0.5,1
542,U.S.S.R.-Cuba,mistral_7B,1.0,0
543,U.S.S.R.-Cuba,mistral_7B,1.5,0
544,U.S.S.R.-France,gpt-3.5-turbo,0.001,1
545,U.S.S.R.-France,gpt-3.5-turbo,0.5,1
546,U.S.S.R.-France,gpt-3.5-turbo,1.0,1
547,U.S.S.R.-France,gpt-3.5-turbo,1.5,0
548,U.S.S.R.-France,gpt-4,0.001,0
549,U.S.S.R.-France,gpt-4,0.5,0
550,U.S.S.R.-France,gpt-4,1.0,1
551,U.S.S.R.-France,gpt-4,1.5,1
552,U.S.S.R.-France,llama2_13B,0.001,0
553,U.S.S.R.-France,llama2_13B,0.5,0
554,U.S.S.R.-France,llama2_13B,1.0,0
