,country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-values
92,Germany-Austria,Dual_Similar_Degree (DSD),llama2_7B,0.001,15.0,10.0,5.0,[]
93,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
94,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama2_7B,0.001,15.0,10.0,5.0,[]
95,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
96,China-North Korea,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
97,India-Sri Lanka,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
98,U.S.A.-France,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
99,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,8.0,2.0,[]
100,England-Jordan,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
101,France-Israel,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
102,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
103,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
104,France-Algeria,Dual_Similar_Degree (DSD),llama2_7B,0.001,10.0,5.0,5.0,[]
105,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
106,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
107,China-Albania,Dual_Similar_Degree (DSD),llama2_7B,0.5,5.0,10.0,-5.0,[]
108,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama2_7B,0.5,15.0,8.0,7.0,[]
109,Japan-Philippines,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
110,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama2_7B,0.5,15.0,10.0,5.0,[]
111,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
112,England-Ireland,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
113,Germany-Austria,Dual_Similar_Degree (DSD),llama2_7B,0.5,15.0,10.0,5.0,[]
114,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
115,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
116,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
117,China-North Korea,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
118,India-Sri Lanka,Dual_Similar_Degree (DSD),llama2_7B,0.5,15.0,8.0,7.0,[]
119,U.S.A.-France,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
120,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,8.0,2.0,[]
121,England-Jordan,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
122,France-Israel,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
123,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
124,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama2_7B,0.5,8.0,15.0,-7.0,[]
125,France-Algeria,Dual_Similar_Degree (DSD),llama2_7B,0.5,10.0,5.0,5.0,[]
126,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
127,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
128,China-Albania,Dual_Similar_Degree (DSD),llama2_7B,1.0,5.0,10.0,-5.0,[]
129,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama2_7B,1.0,15.0,10.0,5.0,[]
130,Japan-Philippines,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
131,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama2_7B,1.0,15.0,10.0,5.0,[]
132,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
133,England-Ireland,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
134,Germany-Austria,Dual_Similar_Degree (DSD),llama2_7B,1.0,15.0,8.0,7.0,[]
135,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama2_7B,1.0,5.0,10.0,-5.0,[]
136,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama2_7B,1.0,15.0,8.0,7.0,[]
137,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama2_7B,1.0,8.0,4.0,4.0,[]
138,China-North Korea,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
139,India-Sri Lanka,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
140,U.S.A.-France,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
141,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
142,England-Jordan,Dual_Similar_Degree (DSD),llama2_7B,1.0,5.0,8.0,-3.0,[]
143,France-Israel,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
144,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama2_7B,1.0,15.0,8.0,7.0,[]
145,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama2_7B,1.0,8.0,14.0,-6.0,[]
146,France-Algeria,Dual_Similar_Degree (DSD),llama2_7B,1.0,10.0,5.0,5.0,[]
147,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
148,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
149,China-Albania,Dual_Similar_Degree (DSD),llama2_7B,1.5,5.0,8.0,-3.0,[]
150,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama2_7B,1.5,15.0,10.0,5.0,[]
151,Japan-Philippines,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
152,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
153,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama2_7B,1.5,5.0,8.0,-3.0,[]
154,England-Ireland,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
155,Germany-Austria,Dual_Similar_Degree (DSD),llama2_7B,1.5,15.0,8.0,7.0,[]
156,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama2_7B,1.5,5.0,8.0,-3.0,[]
157,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama2_7B,1.5,15.0,10.0,5.0,[]
158,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
159,China-North Korea,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,8.0,2.0,[]
160,India-Sri Lanka,Dual_Similar_Degree (DSD),llama2_7B,1.5,15.0,10.0,5.0,[]
161,U.S.A.-France,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
162,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
163,England-Jordan,Dual_Similar_Degree (DSD),llama2_7B,1.5,5.0,8.0,-3.0,[]
164,France-Israel,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
165,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,8.0,2.0,[]
166,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama2_7B,1.5,8.0,15.0,-7.0,[]
167,France-Algeria,Dual_Similar_Degree (DSD),llama2_7B,1.5,10.0,5.0,5.0,[]
168,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama3_8B,0.001,15.0,15.0,0.0,[]
169,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama3_8B,0.001,4.0,4.0,0.0,[]
170,China-Albania,Dual_Similar_Degree (DSD),llama3_8B,0.001,4.0,4.0,0.0,[]
171,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.001,12.0,12.0,0.0,[]
172,Japan-Philippines,Dual_Similar_Degree (DSD),llama3_8B,0.001,12.0,12.0,0.0,[]
173,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama3_8B,0.001,18.0,18.0,0.0,[]
174,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.001,0.0,0.0,0.0,[]
175,England-Ireland,Dual_Similar_Degree (DSD),llama3_8B,0.001,18.0,18.0,0.0,[]
176,Germany-Austria,Dual_Similar_Degree (DSD),llama3_8B,0.001,18.0,18.0,0.0,[]
177,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama3_8B,0.001,4.0,4.0,0.0,[]
178,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama3_8B,0.001,18.0,18.0,0.0,[]
179,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama3_8B,0.001,0.0,0.0,0.0,[]
180,China-North Korea,Dual_Similar_Degree (DSD),llama3_8B,0.001,18.0,18.0,0.0,[]
181,India-Sri Lanka,Dual_Similar_Degree (DSD),llama3_8B,0.001,18.0,18.0,0.0,[]
182,U.S.A.-France,Dual_Similar_Degree (DSD),llama3_8B,0.001,8.0,8.0,0.0,[]
183,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama3_8B,0.001,4.0,4.0,0.0,[]
184,England-Jordan,Dual_Similar_Degree (DSD),llama3_8B,0.001,4.0,4.0,0.0,[]
185,France-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.001,4.0,4.0,0.0,[]
186,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama3_8B,0.001,12.0,12.0,0.0,[]
187,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama3_8B,0.001,4.0,4.0,0.0,[]
188,France-Algeria,Dual_Similar_Degree (DSD),llama3_8B,0.001,14.0,14.0,0.0,[]
189,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama3_8B,0.5,14.0,14.0,0.0,[]
190,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama3_8B,0.5,4.0,4.0,0.0,[]
191,China-Albania,Dual_Similar_Degree (DSD),llama3_8B,0.5,4.0,4.0,0.0,[]
192,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.5,12.0,12.0,0.0,[]
193,Japan-Philippines,Dual_Similar_Degree (DSD),llama3_8B,0.5,12.0,12.0,0.0,[]
194,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama3_8B,0.5,18.0,18.0,0.0,[]
195,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.5,4.0,4.0,0.0,[]
196,England-Ireland,Dual_Similar_Degree (DSD),llama3_8B,0.5,18.0,18.0,0.0,[]
197,Germany-Austria,Dual_Similar_Degree (DSD),llama3_8B,0.5,18.0,18.0,0.0,[]
198,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama3_8B,0.5,4.0,4.0,0.0,[]
199,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama3_8B,0.5,18.0,18.0,0.0,[]
200,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama3_8B,0.5,0.0,0.0,0.0,[]
201,China-North Korea,Dual_Similar_Degree (DSD),llama3_8B,0.5,18.0,18.0,0.0,[]
202,India-Sri Lanka,Dual_Similar_Degree (DSD),llama3_8B,0.5,15.0,15.0,0.0,[]
203,U.S.A.-France,Dual_Similar_Degree (DSD),llama3_8B,0.5,8.0,8.0,0.0,[]
204,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama3_8B,0.5,4.0,4.0,0.0,[]
205,England-Jordan,Dual_Similar_Degree (DSD),llama3_8B,0.5,4.0,4.0,0.0,[]
206,France-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.5,4.0,4.0,0.0,[]
207,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama3_8B,0.5,14.0,14.0,0.0,[]
208,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama3_8B,0.5,4.0,4.0,0.0,[]
209,France-Algeria,Dual_Similar_Degree (DSD),llama3_8B,0.5,12.0,12.0,0.0,[]
210,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama3_8B,1.0,14.0,14.0,0.0,[]
211,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama3_8B,1.0,4.0,4.0,0.0,[]
212,China-Albania,Dual_Similar_Degree (DSD),llama3_8B,1.0,5.0,5.0,0.0,[]
213,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama3_8B,1.0,14.0,14.0,0.0,[]
214,Japan-Philippines,Dual_Similar_Degree (DSD),llama3_8B,1.0,10.0,10.0,0.0,[]
215,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama3_8B,1.0,18.0,18.0,0.0,[]
216,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama3_8B,1.0,4.0,4.0,0.0,[]
217,England-Ireland,Dual_Similar_Degree (DSD),llama3_8B,1.0,18.0,18.0,0.0,[]
218,Germany-Austria,Dual_Similar_Degree (DSD),llama3_8B,1.0,18.0,18.0,0.0,[]
219,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama3_8B,1.0,4.0,4.0,0.0,[]
220,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama3_8B,1.0,18.0,18.0,0.0,[]
221,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama3_8B,1.0,4.0,4.0,0.0,[]
222,China-North Korea,Dual_Similar_Degree (DSD),llama3_8B,1.0,18.0,18.0,0.0,[]
223,India-Sri Lanka,Dual_Similar_Degree (DSD),llama3_8B,1.0,16.0,16.0,0.0,[]
224,U.S.A.-France,Dual_Similar_Degree (DSD),llama3_8B,1.0,6.0,6.0,0.0,[]
225,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama3_8B,1.0,4.0,4.0,0.0,[]
226,England-Jordan,Dual_Similar_Degree (DSD),llama3_8B,1.0,4.0,4.0,0.0,[]
227,France-Israel,Dual_Similar_Degree (DSD),llama3_8B,1.0,8.0,8.0,0.0,[]
228,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama3_8B,1.0,12.0,12.0,0.0,[]
229,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama3_8B,1.0,0.0,0.0,0.0,[]
230,France-Algeria,Dual_Similar_Degree (DSD),llama3_8B,1.0,12.0,12.0,0.0,[]
231,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama3_8B,1.5,14.0,14.0,0.0,[]
232,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama3_8B,1.5,5.0,5.0,0.0,[]
233,China-Albania,Dual_Similar_Degree (DSD),llama3_8B,1.5,4.0,4.0,0.0,[]
234,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama3_8B,1.5,15.0,15.0,0.0,[]
235,Japan-Philippines,Dual_Similar_Degree (DSD),llama3_8B,1.5,12.0,12.0,0.0,[]
236,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama3_8B,1.5,18.0,18.0,0.0,[]
237,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama3_8B,1.5,0.0,0.0,0.0,[]
238,England-Ireland,Dual_Similar_Degree (DSD),llama3_8B,1.5,16.0,16.0,0.0,[]
239,Germany-Austria,Dual_Similar_Degree (DSD),llama3_8B,1.5,18.0,18.0,0.0,[]
240,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama3_8B,1.5,4.0,4.0,0.0,[]
241,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama3_8B,1.5,18.0,18.0,0.0,[]
242,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama3_8B,1.5,2.0,4.0,-2.0,[]
243,China-North Korea,Dual_Similar_Degree (DSD),llama3_8B,1.5,16.0,16.0,0.0,[]
244,India-Sri Lanka,Dual_Similar_Degree (DSD),llama3_8B,1.5,15.0,15.0,0.0,[]
245,U.S.A.-France,Dual_Similar_Degree (DSD),llama3_8B,1.5,6.0,6.0,0.0,[]
246,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama3_8B,1.5,4.0,6.0,-2.0,[]
247,England-Jordan,Dual_Similar_Degree (DSD),llama3_8B,1.5,4.0,4.0,0.0,[]
248,France-Israel,Dual_Similar_Degree (DSD),llama3_8B,1.5,8.0,10.0,-2.0,[]
249,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama3_8B,1.5,12.0,12.0,0.0,[]
250,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama3_8B,1.5,0.0,0.0,0.0,[]
251,France-Algeria,Dual_Similar_Degree (DSD),llama3_8B,1.5,12.0,14.0,-2.0,[]
252,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama2_13B,0.001,10.0,8.0,2.0,[]
253,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama2_13B,0.001,5.0,8.0,-3.0,[]
254,China-Albania,Dual_Similar_Degree (DSD),llama2_13B,0.001,5.0,8.0,-3.0,[]
255,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama2_13B,0.001,15.0,12.0,3.0,[]
