,country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff,p-values
127,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_7B,1.0,10,3.0,7.0,[]
128,China-Albania,Single_Similar_To (SST),llama2_7B,1.0,5,3.0,2.0,[]
129,U.S.A.-Israel,Single_Similar_To (SST),llama2_7B,1.0,10,15.0,-5.0,[]
130,Japan-Philippines,Single_Similar_To (SST),llama2_7B,1.0,10,10.0,0.0,[]
131,U.S.A.-Canada,Single_Similar_To (SST),llama2_7B,1.0,15,15.0,0.0,[]
132,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_7B,1.0,8,5.0,3.0,[]
133,England-Ireland,Single_Similar_To (SST),llama2_7B,1.0,15,15.0,0.0,[]
134,Germany-Austria,Single_Similar_To (SST),llama2_7B,1.0,15,15.0,0.0,[]
135,U.S.S.R.-France,Single_Similar_To (SST),llama2_7B,1.0,10,5.0,5.0,[]
136,Belgium-Luxembourg,Single_Similar_To (SST),llama2_7B,1.0,15,15.0,0.0,[]
137,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_7B,1.0,8,10.0,-2.0,[]
138,China-North Korea,Single_Similar_To (SST),llama2_7B,1.0,10,15.0,-5.0,[]
139,India-Sri Lanka,Single_Similar_To (SST),llama2_7B,1.0,15,15.0,0.0,[]
140,U.S.A.-France,Single_Similar_To (SST),llama2_7B,1.0,8,10.0,-2.0,[]
141,U.S.S.R.-Cuba,Single_Similar_To (SST),llama2_7B,1.0,15,15.0,0.0,[]
142,England-Jordan,Single_Similar_To (SST),llama2_7B,1.0,10,10.0,0.0,[]
143,France-Israel,Single_Similar_To (SST),llama2_7B,1.0,10,10.0,0.0,[]
144,U.S.A.-Germany,Single_Similar_To (SST),llama2_7B,1.0,10,10.0,0.0,[]
145,U.S.S.R.-Syria,Single_Similar_To (SST),llama2_7B,1.0,5,8.0,-3.0,[]
146,France-Algeria,Single_Similar_To (SST),llama2_7B,1.0,10,10.0,0.0,[]
147,U.S.A.-Mexico,Single_Similar_To (SST),llama2_7B,1.5,15,15.0,0.0,[]
148,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_7B,1.5,10,8.0,2.0,[]
149,China-Albania,Single_Similar_To (SST),llama2_7B,1.5,4,5.0,-1.0,[]
150,U.S.A.-Israel,Single_Similar_To (SST),llama2_7B,1.5,10,15.0,-5.0,[]
151,Japan-Philippines,Single_Similar_To (SST),llama2_7B,1.5,10,10.0,0.0,[]
152,U.S.A.-Canada,Single_Similar_To (SST),llama2_7B,1.5,15,15.0,0.0,[]
153,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_7B,1.5,5,8.0,-3.0,[]
154,England-Ireland,Single_Similar_To (SST),llama2_7B,1.5,15,15.0,0.0,[]
155,Germany-Austria,Single_Similar_To (SST),llama2_7B,1.5,15,15.0,0.0,[]
156,U.S.S.R.-France,Single_Similar_To (SST),llama2_7B,1.5,10,2.0,8.0,[]
157,Belgium-Luxembourg,Single_Similar_To (SST),llama2_7B,1.5,15,15.0,0.0,[]
158,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_7B,1.5,8,10.0,-2.0,[]
159,China-North Korea,Single_Similar_To (SST),llama2_7B,1.5,15,15.0,0.0,[]
160,India-Sri Lanka,Single_Similar_To (SST),llama2_7B,1.5,15,15.0,0.0,[]
161,U.S.A.-France,Single_Similar_To (SST),llama2_7B,1.5,10,15.0,-5.0,[]
162,U.S.S.R.-Cuba,Single_Similar_To (SST),llama2_7B,1.5,10,15.0,-5.0,[]
163,England-Jordan,Single_Similar_To (SST),llama2_7B,1.5,8,15.0,-7.0,[]
164,France-Israel,Single_Similar_To (SST),llama2_7B,1.5,10,10.0,0.0,[]
165,U.S.A.-Germany,Single_Similar_To (SST),llama2_7B,1.5,15,10.0,5.0,[]
166,U.S.S.R.-Syria,Single_Similar_To (SST),llama2_7B,1.5,5,10.0,-5.0,[]
167,France-Algeria,Single_Similar_To (SST),llama2_7B,1.5,10,15.0,-5.0,[]
168,U.S.A.-Mexico,Single_Similar_To (SST),llama3_8B,0.001,10,14.0,-4.0,[]
169,U.S.S.R.-Poland,Single_Similar_To (SST),llama3_8B,0.001,4,2.0,2.0,[]
170,China-Albania,Single_Similar_To (SST),llama3_8B,0.001,2,2.0,0.0,[]
171,U.S.A.-Israel,Single_Similar_To (SST),llama3_8B,0.001,4,12.0,-8.0,[]
172,Japan-Philippines,Single_Similar_To (SST),llama3_8B,0.001,6,4.0,2.0,[]
173,U.S.A.-Canada,Single_Similar_To (SST),llama3_8B,0.001,14,18.0,-4.0,[]
174,U.S.S.R.-Israel,Single_Similar_To (SST),llama3_8B,0.001,2,2.0,0.0,[]
175,England-Ireland,Single_Similar_To (SST),llama3_8B,0.001,12,12.0,0.0,[]
176,Germany-Austria,Single_Similar_To (SST),llama3_8B,0.001,14,14.0,0.0,[]
177,U.S.S.R.-France,Single_Similar_To (SST),llama3_8B,0.001,2,2.0,0.0,[]
178,Belgium-Luxembourg,Single_Similar_To (SST),llama3_8B,0.001,14,14.0,0.0,[]
179,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama3_8B,0.001,2,4.0,-2.0,[]
180,China-North Korea,Single_Similar_To (SST),llama3_8B,0.001,12,12.0,0.0,[]
181,India-Sri Lanka,Single_Similar_To (SST),llama3_8B,0.001,12,15.0,-3.0,[]
182,U.S.A.-France,Single_Similar_To (SST),llama3_8B,0.001,4,4.0,0.0,[]
183,U.S.S.R.-Cuba,Single_Similar_To (SST),llama3_8B,0.001,2,2.0,0.0,[]
184,England-Jordan,Single_Similar_To (SST),llama3_8B,0.001,2,4.0,-2.0,[]
185,France-Israel,Single_Similar_To (SST),llama3_8B,0.001,4,4.0,0.0,[]
186,U.S.A.-Germany,Single_Similar_To (SST),llama3_8B,0.001,4,12.0,-8.0,[]
187,U.S.S.R.-Syria,Single_Similar_To (SST),llama3_8B,0.001,2,2.0,0.0,[]
188,France-Algeria,Single_Similar_To (SST),llama3_8B,0.001,12,12.0,0.0,[]
189,U.S.A.-Mexico,Single_Similar_To (SST),llama3_8B,0.5,4,10.0,-6.0,[]
190,U.S.S.R.-Poland,Single_Similar_To (SST),llama3_8B,0.5,4,2.0,2.0,[]
191,China-Albania,Single_Similar_To (SST),llama3_8B,0.5,2,2.0,0.0,[]
192,U.S.A.-Israel,Single_Similar_To (SST),llama3_8B,0.5,4,12.0,-8.0,[]
193,Japan-Philippines,Single_Similar_To (SST),llama3_8B,0.5,6,4.0,2.0,[]
194,U.S.A.-Canada,Single_Similar_To (SST),llama3_8B,0.5,18,18.0,0.0,[]
195,U.S.S.R.-Israel,Single_Similar_To (SST),llama3_8B,0.5,2,2.0,0.0,[]
196,England-Ireland,Single_Similar_To (SST),llama3_8B,0.5,12,16.0,-4.0,[]
197,Germany-Austria,Single_Similar_To (SST),llama3_8B,0.5,16,14.0,2.0,[]
198,U.S.S.R.-France,Single_Similar_To (SST),llama3_8B,0.5,2,2.0,0.0,[]
199,Belgium-Luxembourg,Single_Similar_To (SST),llama3_8B,0.5,12,14.0,-2.0,[]
200,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama3_8B,0.5,2,4.0,-2.0,[]
201,China-North Korea,Single_Similar_To (SST),llama3_8B,0.5,12,10.0,2.0,[]
202,India-Sri Lanka,Single_Similar_To (SST),llama3_8B,0.5,14,12.0,2.0,[]
203,U.S.A.-France,Single_Similar_To (SST),llama3_8B,0.5,2,4.0,-2.0,[]
204,U.S.S.R.-Cuba,Single_Similar_To (SST),llama3_8B,0.5,2,4.0,-2.0,[]
205,England-Jordan,Single_Similar_To (SST),llama3_8B,0.5,2,4.0,-2.0,[]
206,France-Israel,Single_Similar_To (SST),llama3_8B,0.5,2,4.0,-2.0,[]
207,U.S.A.-Germany,Single_Similar_To (SST),llama3_8B,0.5,6,12.0,-6.0,[]
208,U.S.S.R.-Syria,Single_Similar_To (SST),llama3_8B,0.5,2,2.0,0.0,[]
209,France-Algeria,Single_Similar_To (SST),llama3_8B,0.5,10,14.0,-4.0,[]
210,U.S.A.-Mexico,Single_Similar_To (SST),llama3_8B,1.0,6,14.0,-8.0,[]
211,U.S.S.R.-Poland,Single_Similar_To (SST),llama3_8B,1.0,4,2.0,2.0,[]
212,China-Albania,Single_Similar_To (SST),llama3_8B,1.0,2,2.0,0.0,[]
213,U.S.A.-Israel,Single_Similar_To (SST),llama3_8B,1.0,2,15.0,-13.0,[]
214,Japan-Philippines,Single_Similar_To (SST),llama3_8B,1.0,6,4.0,2.0,[]
215,U.S.A.-Canada,Single_Similar_To (SST),llama3_8B,1.0,18,18.0,0.0,[]
216,U.S.S.R.-Israel,Single_Similar_To (SST),llama3_8B,1.0,2,1.0,1.0,[]
217,England-Ireland,Single_Similar_To (SST),llama3_8B,1.0,10,10.0,0.0,[]
218,Germany-Austria,Single_Similar_To (SST),llama3_8B,1.0,15,12.0,3.0,[]
219,U.S.S.R.-France,Single_Similar_To (SST),llama3_8B,1.0,2,2.0,0.0,[]
220,Belgium-Luxembourg,Single_Similar_To (SST),llama3_8B,1.0,16,12.0,4.0,[]
221,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama3_8B,1.0,4,4.0,0.0,[]
222,China-North Korea,Single_Similar_To (SST),llama3_8B,1.0,10,10.0,0.0,[]
223,India-Sri Lanka,Single_Similar_To (SST),llama3_8B,1.0,15,16.0,-1.0,[]
224,U.S.A.-France,Single_Similar_To (SST),llama3_8B,1.0,4,4.0,0.0,[]
225,U.S.S.R.-Cuba,Single_Similar_To (SST),llama3_8B,1.0,2,2.0,0.0,[]
226,England-Jordan,Single_Similar_To (SST),llama3_8B,1.0,2,5.0,-3.0,[]
227,France-Israel,Single_Similar_To (SST),llama3_8B,1.0,2,4.0,-2.0,[]
228,U.S.A.-Germany,Single_Similar_To (SST),llama3_8B,1.0,4,12.0,-8.0,[]
229,U.S.S.R.-Syria,Single_Similar_To (SST),llama3_8B,1.0,2,2.0,0.0,[]
230,France-Algeria,Single_Similar_To (SST),llama3_8B,1.0,10,12.0,-2.0,[]
231,U.S.A.-Mexico,Single_Similar_To (SST),llama3_8B,1.5,4,10.0,-6.0,[]
232,U.S.S.R.-Poland,Single_Similar_To (SST),llama3_8B,1.5,4,4.0,0.0,[]
233,China-Albania,Single_Similar_To (SST),llama3_8B,1.5,4,2.0,2.0,[]
234,U.S.A.-Israel,Single_Similar_To (SST),llama3_8B,1.5,5,6.0,-1.0,[]
235,Japan-Philippines,Single_Similar_To (SST),llama3_8B,1.5,6,4.0,2.0,[]
236,U.S.A.-Canada,Single_Similar_To (SST),llama3_8B,1.5,17,14.0,3.0,[]
237,U.S.S.R.-Israel,Single_Similar_To (SST),llama3_8B,1.5,2,2.0,0.0,[]
238,England-Ireland,Single_Similar_To (SST),llama3_8B,1.5,12,16.0,-4.0,[]
239,Germany-Austria,Single_Similar_To (SST),llama3_8B,1.5,12,16.0,-4.0,[]
240,U.S.S.R.-France,Single_Similar_To (SST),llama3_8B,1.5,2,4.0,-2.0,[]
241,Belgium-Luxembourg,Single_Similar_To (SST),llama3_8B,1.5,18,8.0,10.0,[]
242,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama3_8B,1.5,4,10.0,-6.0,[]
243,China-North Korea,Single_Similar_To (SST),llama3_8B,1.5,12,10.0,2.0,[]
244,India-Sri Lanka,Single_Similar_To (SST),llama3_8B,1.5,12,14.0,-2.0,[]
245,U.S.A.-France,Single_Similar_To (SST),llama3_8B,1.5,2,4.0,-2.0,[]
246,U.S.S.R.-Cuba,Single_Similar_To (SST),llama3_8B,1.5,2,2.0,0.0,[]
247,England-Jordan,Single_Similar_To (SST),llama3_8B,1.5,2,6.0,-4.0,[]
248,France-Israel,Single_Similar_To (SST),llama3_8B,1.5,4,4.0,0.0,[]
249,U.S.A.-Germany,Single_Similar_To (SST),llama3_8B,1.5,4,12.0,-8.0,[]
250,U.S.S.R.-Syria,Single_Similar_To (SST),llama3_8B,1.5,2,1.0,1.0,[]
251,France-Algeria,Single_Similar_To (SST),llama3_8B,1.5,10,6.0,4.0,[]
252,U.S.A.-Mexico,Single_Similar_To (SST),llama2_13B,0.001,15,15.0,0.0,[]
253,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_13B,0.001,5,5.0,0.0,[]
254,China-Albania,Single_Similar_To (SST),llama2_13B,0.001,5,5.0,0.0,[]
255,U.S.A.-Israel,Single_Similar_To (SST),llama2_13B,0.001,14,14.0,0.0,[]
256,Japan-Philippines,Single_Similar_To (SST),llama2_13B,0.001,12,5.0,7.0,[]
257,U.S.A.-Canada,Single_Similar_To (SST),llama2_13B,0.001,15,15.0,0.0,[]
258,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_13B,0.001,5,5.0,0.0,[]
259,England-Ireland,Single_Similar_To (SST),llama2_13B,0.001,15,15.0,0.0,[]
260,Germany-Austria,Single_Similar_To (SST),llama2_13B,0.001,15,15.0,0.0,[]
261,U.S.S.R.-France,Single_Similar_To (SST),llama2_13B,0.001,5,5.0,0.0,[]
262,Belgium-Luxembourg,Single_Similar_To (SST),llama2_13B,0.001,15,15.0,0.0,[]
263,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_13B,0.001,5,5.0,0.0,[]
264,China-North Korea,Single_Similar_To (SST),llama2_13B,0.001,5,12.0,-7.0,[]
265,India-Sri Lanka,Single_Similar_To (SST),llama2_13B,0.001,15,15.0,0.0,[]
266,U.S.A.-France,Single_Similar_To (SST),llama2_13B,0.001,10,12.0,-2.0,[]
267,U.S.S.R.-Cuba,Single_Similar_To (SST),llama2_13B,0.001,15,12.0,3.0,[]
268,England-Jordan,Single_Similar_To (SST),llama2_13B,0.001,5,5.0,0.0,[]
269,France-Israel,Single_Similar_To (SST),llama2_13B,0.001,5,12.0,-7.0,[]
270,U.S.A.-Germany,Single_Similar_To (SST),llama2_13B,0.001,14,14.0,0.0,[]
271,U.S.S.R.-Syria,Single_Similar_To (SST),llama2_13B,0.001,5,2.0,3.0,[]
272,France-Algeria,Single_Similar_To (SST),llama2_13B,0.001,5,10.0,-5.0,[]
273,U.S.A.-Mexico,Single_Similar_To (SST),llama2_13B,0.5,15,15.0,0.0,[]
274,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_13B,0.5,5,5.0,0.0,[]
275,China-Albania,Single_Similar_To (SST),llama2_13B,0.5,5,2.0,3.0,[]
276,U.S.A.-Israel,Single_Similar_To (SST),llama2_13B,0.5,14,14.0,0.0,[]
277,Japan-Philippines,Single_Similar_To (SST),llama2_13B,0.5,10,5.0,5.0,[]
278,U.S.A.-Canada,Single_Similar_To (SST),llama2_13B,0.5,15,15.0,0.0,[]
279,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_13B,0.5,5,5.0,0.0,[]
280,England-Ireland,Single_Similar_To (SST),llama2_13B,0.5,15,15.0,0.0,[]
281,Germany-Austria,Single_Similar_To (SST),llama2_13B,0.5,15,15.0,0.0,[]
282,U.S.S.R.-France,Single_Similar_To (SST),llama2_13B,0.5,5,5.0,0.0,[]
283,Belgium-Luxembourg,Single_Similar_To (SST),llama2_13B,0.5,15,15.0,0.0,[]
284,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_13B,0.5,5,5.0,0.0,[]
285,China-North Korea,Single_Similar_To (SST),llama2_13B,0.5,5,5.0,0.0,[]
286,India-Sri Lanka,Single_Similar_To (SST),llama2_13B,0.5,15,12.0,3.0,[]
