country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff
U.S.S.R.-France,SSD,gpt-3.5-turbo,1.5,12,5,7
Belgium-Luxembourg,SSD,gpt-3.5-turbo,1.5,15,17,-2
U.S.A.-U.S.S.R.,SSD,gpt-3.5-turbo,1.5,5,5,0
China-North Korea,SSD,gpt-3.5-turbo,1.5,10,10,0
India-Sri Lanka,SSD,gpt-3.5-turbo,1.5,14,16,-2
U.S.A.-France,SSD,gpt-3.5-turbo,1.5,15,15,0
U.S.S.R.-Cuba,SSD,gpt-3.5-turbo,1.5,15,14,1
England-Jordan,SSD,gpt-3.5-turbo,1.5,10,12,-2
France-Israel,SSD,gpt-3.5-turbo,1.5,12,12,0
U.S.A.-Germany,SSD,gpt-3.5-turbo,1.5,14,15,-1
U.S.S.R.-Syria,SSD,gpt-3.5-turbo,1.5,10,15,-5
France-Algeria,SSD,gpt-3.5-turbo,1.5,10,10,0
U.S.A.-Mexico,SST,gpt-3.5-turbo,0.001,10,15,-5
U.S.S.R.-Poland,SST,gpt-3.5-turbo,0.001,10,5,5
China-Albania,SST,gpt-3.5-turbo,0.001,5,5,0
U.S.A.-Israel,SST,gpt-3.5-turbo,0.001,15,15,0
Japan-Philippines,SST,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-Canada,SST,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Israel,SST,gpt-3.5-turbo,0.001,5,5,0
England-Ireland,SST,gpt-3.5-turbo,0.001,15,15,0
Germany-Austria,SST,gpt-3.5-turbo,0.001,18,18,0
U.S.S.R.-France,SST,gpt-3.5-turbo,0.001,10,5,5
Belgium-Luxembourg,SST,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-U.S.S.R.,SST,gpt-3.5-turbo,0.001,5,10,-5
China-North Korea,SST,gpt-3.5-turbo,0.001,10,15,-5
India-Sri Lanka,SST,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-France,SST,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Cuba,SST,gpt-3.5-turbo,0.001,15,10,5
England-Jordan,SST,gpt-3.5-turbo,0.001,10,15,-5
France-Israel,SST,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-Germany,SST,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Syria,SST,gpt-3.5-turbo,0.001,5,10,-5
France-Algeria,SST,gpt-3.5-turbo,0.001,10,10,0
U.S.A.-Mexico,SST,gpt-3.5-turbo,0.5,10,15,-5
U.S.S.R.-Poland,SST,gpt-3.5-turbo,0.5,10,5,5
China-Albania,SST,gpt-3.5-turbo,0.5,5,5,0
U.S.A.-Israel,SST,gpt-3.5-turbo,0.5,15,12,3
Japan-Philippines,SST,gpt-3.5-turbo,0.5,10,15,-5
U.S.A.-Canada,SST,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Israel,SST,gpt-3.5-turbo,0.5,5,5,0
England-Ireland,SST,gpt-3.5-turbo,0.5,15,15,0
Germany-Austria,SST,gpt-3.5-turbo,0.5,18,18,0
U.S.S.R.-France,SST,gpt-3.5-turbo,0.5,10,5,5
Belgium-Luxembourg,SST,gpt-3.5-turbo,0.5,15,15,0
U.S.A.-U.S.S.R.,SST,gpt-3.5-turbo,0.5,5,10,-5
China-North Korea,SST,gpt-3.5-turbo,0.5,10,15,-5
India-Sri Lanka,SST,gpt-3.5-turbo,0.5,15,15,0
U.S.A.-France,SST,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Cuba,SST,gpt-3.5-turbo,0.5,15,10,5
England-Jordan,SST,gpt-3.5-turbo,0.5,10,15,-5
France-Israel,SST,gpt-3.5-turbo,0.5,12,15,-3
U.S.A.-Germany,SST,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Syria,SST,gpt-3.5-turbo,0.5,5,10,-5
France-Algeria,SST,gpt-3.5-turbo,0.5,10,10,0
U.S.A.-Mexico,SST,gpt-3.5-turbo,1.0,10,15,-5
U.S.S.R.-Poland,SST,gpt-3.5-turbo,1.0,10,5,5
China-Albania,SST,gpt-3.5-turbo,1.0,10,10,0
U.S.A.-Israel,SST,gpt-3.5-turbo,1.0,15,15,0
Japan-Philippines,SST,gpt-3.5-turbo,1.0,15,15,0
U.S.A.-Canada,SST,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Israel,SST,gpt-3.5-turbo,1.0,5,5,0
England-Ireland,SST,gpt-3.5-turbo,1.0,15,15,0
Germany-Austria,SST,gpt-3.5-turbo,1.0,18,18,0
U.S.S.R.-France,SST,gpt-3.5-turbo,1.0,10,5,5
Belgium-Luxembourg,SST,gpt-3.5-turbo,1.0,16,17,-1
U.S.A.-U.S.S.R.,SST,gpt-3.5-turbo,1.0,5,10,-5
China-North Korea,SST,gpt-3.5-turbo,1.0,10,15,-5
India-Sri Lanka,SST,gpt-3.5-turbo,1.0,10,15,-5
U.S.A.-France,SST,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Cuba,SST,gpt-3.5-turbo,1.0,15,15,0
England-Jordan,SST,gpt-3.5-turbo,1.0,10,15,-5
France-Israel,SST,gpt-3.5-turbo,1.0,15,12,3
U.S.A.-Germany,SST,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Syria,SST,gpt-3.5-turbo,1.0,10,10,0
France-Algeria,SST,gpt-3.5-turbo,1.0,15,10,5
U.S.A.-Mexico,SST,gpt-3.5-turbo,1.5,10,15,-5
U.S.S.R.-Poland,SST,gpt-3.5-turbo,1.5,15,5,10
China-Albania,SST,gpt-3.5-turbo,1.5,12,3,9
U.S.A.-Israel,SST,gpt-3.5-turbo,1.5,10,15,-5
Japan-Philippines,SST,gpt-3.5-turbo,1.5,15,10,5
U.S.A.-Canada,SST,gpt-3.5-turbo,1.5,14,18,-4
U.S.S.R.-Israel,SST,gpt-3.5-turbo,1.5,2,1,1
England-Ireland,SST,gpt-3.5-turbo,1.5,15,12,3
Germany-Austria,SST,gpt-3.5-turbo,1.5,18,18,0
U.S.S.R.-France,SST,gpt-3.5-turbo,1.5,8,2,6
Belgium-Luxembourg,SST,gpt-3.5-turbo,1.5,18,18,0
U.S.A.-U.S.S.R.,SST,gpt-3.5-turbo,1.5,1,10,-9
China-North Korea,SST,gpt-3.5-turbo,1.5,5,10,-5
India-Sri Lanka,SST,gpt-3.5-turbo,1.5,12,15,-3
U.S.A.-France,SST,gpt-3.5-turbo,1.5,15,12,3
U.S.S.R.-Cuba,SST,gpt-3.5-turbo,1.5,10,10,0
England-Jordan,SST,gpt-3.5-turbo,1.5,13,14,-1
France-Israel,SST,gpt-3.5-turbo,1.5,15,15,0
U.S.A.-Germany,SST,gpt-3.5-turbo,1.5,10,15,-5
U.S.S.R.-Syria,SST,gpt-3.5-turbo,1.5,5,15,-10
France-Algeria,SST,gpt-3.5-turbo,1.5,13,12,1
U.S.A.-Mexico,SSA,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Poland,SSA,gpt-3.5-turbo,0.001,15,10,5
China-Albania,SSA,gpt-3.5-turbo,0.001,5,10,-5
U.S.A.-Israel,SSA,gpt-3.5-turbo,0.001,15,15,0
Japan-Philippines,SSA,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-Canada,SSA,gpt-3.5-turbo,0.001,18,18,0
U.S.S.R.-Israel,SSA,gpt-3.5-turbo,0.001,5,5,0
England-Ireland,SSA,gpt-3.5-turbo,0.001,15,15,0
Germany-Austria,SSA,gpt-3.5-turbo,0.001,18,18,0
U.S.S.R.-France,SSA,gpt-3.5-turbo,0.001,12,10,2
Belgium-Luxembourg,SSA,gpt-3.5-turbo,0.001,18,18,0
U.S.A.-U.S.S.R.,SSA,gpt-3.5-turbo,0.001,15,10,5
China-North Korea,SSA,gpt-3.5-turbo,0.001,15,15,0
India-Sri Lanka,SSA,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-France,SSA,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Cuba,SSA,gpt-3.5-turbo,0.001,15,15,0
England-Jordan,SSA,gpt-3.5-turbo,0.001,10,15,-5
France-Israel,SSA,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-Germany,SSA,gpt-3.5-turbo,0.001,15,15,0
U.S.S.R.-Syria,SSA,gpt-3.5-turbo,0.001,10,15,-5
France-Algeria,SSA,gpt-3.5-turbo,0.001,15,15,0
U.S.A.-Mexico,SSA,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Poland,SSA,gpt-3.5-turbo,0.5,15,15,0
China-Albania,SSA,gpt-3.5-turbo,0.5,5,10,-5
U.S.A.-Israel,SSA,gpt-3.5-turbo,0.5,15,15,0
Japan-Philippines,SSA,gpt-3.5-turbo,0.5,15,15,0
U.S.A.-Canada,SSA,gpt-3.5-turbo,0.5,18,18,0
U.S.S.R.-Israel,SSA,gpt-3.5-turbo,0.5,5,5,0
England-Ireland,SSA,gpt-3.5-turbo,0.5,15,15,0
Germany-Austria,SSA,gpt-3.5-turbo,0.5,18,18,0
U.S.S.R.-France,SSA,gpt-3.5-turbo,0.5,10,10,0
Belgium-Luxembourg,SSA,gpt-3.5-turbo,0.5,15,15,0
U.S.A.-U.S.S.R.,SSA,gpt-3.5-turbo,0.5,15,10,5
China-North Korea,SSA,gpt-3.5-turbo,0.5,15,15,0
India-Sri Lanka,SSA,gpt-3.5-turbo,0.5,15,15,0
U.S.A.-France,SSA,gpt-3.5-turbo,0.5,15,15,0
U.S.S.R.-Cuba,SSA,gpt-3.5-turbo,0.5,15,15,0
England-Jordan,SSA,gpt-3.5-turbo,0.5,12,15,-3
France-Israel,SSA,gpt-3.5-turbo,0.5,15,15,0
U.S.A.-Germany,SSA,gpt-3.5-turbo,0.5,15,16,-1
U.S.S.R.-Syria,SSA,gpt-3.5-turbo,0.5,10,15,-5
France-Algeria,SSA,gpt-3.5-turbo,0.5,10,15,-5
U.S.A.-Mexico,SSA,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Poland,SSA,gpt-3.5-turbo,1.0,8,10,-2
China-Albania,SSA,gpt-3.5-turbo,1.0,5,8,-3
U.S.A.-Israel,SSA,gpt-3.5-turbo,1.0,15,15,0
Japan-Philippines,SSA,gpt-3.5-turbo,1.0,12,15,-3
U.S.A.-Canada,SSA,gpt-3.5-turbo,1.0,18,18,0
U.S.S.R.-Israel,SSA,gpt-3.5-turbo,1.0,5,10,-5
England-Ireland,SSA,gpt-3.5-turbo,1.0,15,15,0
Germany-Austria,SSA,gpt-3.5-turbo,1.0,18,18,0
U.S.S.R.-France,SSA,gpt-3.5-turbo,1.0,12,15,-3
Belgium-Luxembourg,SSA,gpt-3.5-turbo,1.0,15,16,-1
U.S.A.-U.S.S.R.,SSA,gpt-3.5-turbo,1.0,15,10,5
China-North Korea,SSA,gpt-3.5-turbo,1.0,15,14,1
India-Sri Lanka,SSA,gpt-3.5-turbo,1.0,15,15,0
U.S.A.-France,SSA,gpt-3.5-turbo,1.0,15,18,-3
U.S.S.R.-Cuba,SSA,gpt-3.5-turbo,1.0,15,15,0
England-Jordan,SSA,gpt-3.5-turbo,1.0,10,15,-5
France-Israel,SSA,gpt-3.5-turbo,1.0,15,15,0
U.S.A.-Germany,SSA,gpt-3.5-turbo,1.0,15,15,0
U.S.S.R.-Syria,SSA,gpt-3.5-turbo,1.0,10,10,0
France-Algeria,SSA,gpt-3.5-turbo,1.0,12,15,-3
U.S.A.-Mexico,SSA,gpt-3.5-turbo,1.5,18,15,3
U.S.S.R.-Poland,SSA,gpt-3.5-turbo,1.5,10,12,-2
China-Albania,SSA,gpt-3.5-turbo,1.5,5,8,-3
U.S.A.-Israel,SSA,gpt-3.5-turbo,1.5,15,15,0
Japan-Philippines,SSA,gpt-3.5-turbo,1.5,7,15,-8
U.S.A.-Canada,SSA,gpt-3.5-turbo,1.5,18,18,0
U.S.S.R.-Israel,SSA,gpt-3.5-turbo,1.5,2,3,-1
England-Ireland,SSA,gpt-3.5-turbo,1.5,15,15,0
Germany-Austria,SSA,gpt-3.5-turbo,1.5,18,18,0
U.S.S.R.-France,SSA,gpt-3.5-turbo,1.5,10,15,-5
Belgium-Luxembourg,SSA,gpt-3.5-turbo,1.5,18,18,0
U.S.A.-U.S.S.R.,SSA,gpt-3.5-turbo,1.5,10,15,-5
China-North Korea,SSA,gpt-3.5-turbo,1.5,15,10,5
India-Sri Lanka,SSA,gpt-3.5-turbo,1.5,15,15,0
U.S.A.-France,SSA,gpt-3.5-turbo,1.5,15,14,1
U.S.S.R.-Cuba,SSA,gpt-3.5-turbo,1.5,15,12,3
England-Jordan,SSA,gpt-3.5-turbo,1.5,8,15,-7
France-Israel,SSA,gpt-3.5-turbo,1.5,15,15,0
U.S.A.-Germany,SSA,gpt-3.5-turbo,1.5,15,15,0
U.S.S.R.-Syria,SSA,gpt-3.5-turbo,1.5,8,15,-7
France-Algeria,SSA,gpt-3.5-turbo,1.5,10,15,-5
U.S.A.-Mexico,SSD,gpt-4,0.001,7,14,-7
U.S.S.R.-Poland,SSD,gpt-4,0.001,5,5,0
China-Albania,SSD,gpt-4,0.001,5,5,0
U.S.A.-Israel,SSD,gpt-4,0.001,12,14,-2
Japan-Philippines,SSD,gpt-4,0.001,12,12,0
U.S.A.-Canada,SSD,gpt-4,0.001,15,18,-3
U.S.S.R.-Israel,SSD,gpt-4,0.001,5,3,2
England-Ireland,SSD,gpt-4,0.001,15,15,0
Germany-Austria,SSD,gpt-4,0.001,16,16,0
U.S.S.R.-France,SSD,gpt-4,0.001,5,5,0
Belgium-Luxembourg,SSD,gpt-4,0.001,17,18,-1
U.S.A.-U.S.S.R.,SSD,gpt-4,0.001,5,5,0
China-North Korea,SSD,gpt-4,0.001,5,5,0
India-Sri Lanka,SSD,gpt-4,0.001,12,15,-3
U.S.A.-France,SSD,gpt-4,0.001,12,15,-3
U.S.S.R.-Cuba,SSD,gpt-4,0.001,12,15,-3
England-Jordan,SSD,gpt-4,0.001,5,7,-2
France-Israel,SSD,gpt-4,0.001,12,12,0
U.S.A.-Germany,SSD,gpt-4,0.001,15,15,0
U.S.S.R.-Syria,SSD,gpt-4,0.001,5,3,2
France-Algeria,SSD,gpt-4,0.001,7,7,0
U.S.A.-Mexico,SSD,gpt-4,0.5,10,12,-2
U.S.S.R.-Poland,SSD,gpt-4,0.5,7,5,2
China-Albania,SSD,gpt-4,0.5,5,4,1
U.S.A.-Israel,SSD,gpt-4,0.5,13,14,-1
Japan-Philippines,SSD,gpt-4,0.5,7,12,-5
U.S.A.-Canada,SSD,gpt-4,0.5,15,16,-1
U.S.S.R.-Israel,SSD,gpt-4,0.5,6,3,3
England-Ireland,SSD,gpt-4,0.5,15,17,-2
Germany-Austria,SSD,gpt-4,0.5,16,15,1
U.S.S.R.-France,SSD,gpt-4,0.5,7,5,2
Belgium-Luxembourg,SSD,gpt-4,0.5,17,18,-1
U.S.A.-U.S.S.R.,SSD,gpt-4,0.5,5,5,0
China-North Korea,SSD,gpt-4,0.5,5,5,0
India-Sri Lanka,SSD,gpt-4,0.5,12,15,-3
U.S.A.-France,SSD,gpt-4,0.5,12,15,-3
U.S.S.R.-Cuba,SSD,gpt-4,0.5,14,15,-1
England-Jordan,SSD,gpt-4,0.5,5,6,-1
France-Israel,SSD,gpt-4,0.5,13,12,1
U.S.A.-Germany,SSD,gpt-4,0.5,14,15,-1
U.S.S.R.-Syria,SSD,gpt-4,0.5,5,4,1
France-Algeria,SSD,gpt-4,0.5,7,7,0
U.S.A.-Mexico,SSD,gpt-4,1.0,7,12,-5
U.S.S.R.-Poland,SSD,gpt-4,1.0,5,5,0
China-Albania,SSD,gpt-4,1.0,4,5,-1
U.S.A.-Israel,SSD,gpt-4,1.0,12,15,-3
Japan-Philippines,SSD,gpt-4,1.0,10,12,-2
U.S.A.-Canada,SSD,gpt-4,1.0,16,16,0
U.S.S.R.-Israel,SSD,gpt-4,1.0,5,3,2
England-Ireland,SSD,gpt-4,1.0,15,15,0
Germany-Austria,SSD,gpt-4,1.0,17,16,1
U.S.S.R.-France,SSD,gpt-4,1.0,6,4,2
Belgium-Luxembourg,SSD,gpt-4,1.0,17,16,1
U.S.A.-U.S.S.R.,SSD,gpt-4,1.0,5,5,0
China-North Korea,SSD,gpt-4,1.0,5,5,0
India-Sri Lanka,SSD,gpt-4,1.0,12,14,-2
U.S.A.-France,SSD,gpt-4,1.0,14,15,-1
U.S.S.R.-Cuba,SSD,gpt-4,1.0,10,15,-5
England-Jordan,SSD,gpt-4,1.0,7,7,0
France-Israel,SSD,gpt-4,1.0,12,13,-1
U.S.A.-Germany,SSD,gpt-4,1.0,12,16,-4
U.S.S.R.-Syria,SSD,gpt-4,1.0,5,3,2
France-Algeria,SSD,gpt-4,1.0,7,5,2
U.S.A.-Mexico,SSD,gpt-4,1.5,14,16,-2
U.S.S.R.-Poland,SSD,gpt-4,1.5,5,3,2
China-Albania,SSD,gpt-4,1.5,7,7,0
U.S.A.-Israel,SSD,gpt-4,1.5,10,12,-2
Japan-Philippines,SSD,gpt-4,1.5,12,12,0
U.S.A.-Canada,SSD,gpt-4,1.5,15,18,-3
U.S.S.R.-Israel,SSD,gpt-4,1.5,5,3,2
England-Ireland,SSD,gpt-4,1.5,15,15,0
Germany-Austria,SSD,gpt-4,1.5,17,16,1
U.S.S.R.-France,SSD,gpt-4,1.5,6,6,0
Belgium-Luxembourg,SSD,gpt-4,1.5,15,15,0
U.S.A.-U.S.S.R.,SSD,gpt-4,1.5,4,6,-2
China-North Korea,SSD,gpt-4,1.5,7,5,2
India-Sri Lanka,SSD,gpt-4,1.5,14,15,-1
U.S.A.-France,SSD,gpt-4,1.5,12,14,-2
U.S.S.R.-Cuba,SSD,gpt-4,1.5,15,13,2
England-Jordan,SSD,gpt-4,1.5,5,7,-2
France-Israel,SSD,gpt-4,1.5,11,8,3
U.S.A.-Germany,SSD,gpt-4,1.5,15,15,0
U.S.S.R.-Syria,SSD,gpt-4,1.5,4,4,0
France-Algeria,SSD,gpt-4,1.5,7,5,2
U.S.A.-Mexico,SST,gpt-4,0.001,10,15,-5
U.S.S.R.-Poland,SST,gpt-4,0.001,5,5,0
China-Albania,SST,gpt-4,0.001,5,5,0
U.S.A.-Israel,SST,gpt-4,0.001,12,15,-3
Japan-Philippines,SST,gpt-4,0.001,10,12,-2
U.S.A.-Canada,SST,gpt-4,0.001,15,18,-3
U.S.S.R.-Israel,SST,gpt-4,0.001,5,5,0
England-Ireland,SST,gpt-4,0.001,15,15,0
Germany-Austria,SST,gpt-4,0.001,18,18,0
U.S.S.R.-France,SST,gpt-4,0.001,7,5,2
Belgium-Luxembourg,SST,gpt-4,0.001,18,18,0
U.S.A.-U.S.S.R.,SST,gpt-4,0.001,5,5,0
China-North Korea,SST,gpt-4,0.001,5,5,0
India-Sri Lanka,SST,gpt-4,0.001,12,15,-3
U.S.A.-France,SST,gpt-4,0.001,15,15,0
U.S.S.R.-Cuba,SST,gpt-4,0.001,12,12,0
England-Jordan,SST,gpt-4,0.001,5,10,-5
France-Israel,SST,gpt-4,0.001,12,10,2
U.S.A.-Germany,SST,gpt-4,0.001,15,15,0
U.S.S.R.-Syria,SST,gpt-4,0.001,5,5,0
France-Algeria,SST,gpt-4,0.001,7,7,0
U.S.A.-Mexico,SST,gpt-4,0.5,10,14,-4
U.S.S.R.-Poland,SST,gpt-4,0.5,10,12,-2
China-Albania,SST,gpt-4,0.5,5,5,0
U.S.A.-Israel,SST,gpt-4,0.5,12,12,0
Japan-Philippines,SST,gpt-4,0.5,10,12,-2
U.S.A.-Canada,SST,gpt-4,0.5,15,16,-1
U.S.S.R.-Israel,SST,gpt-4,0.5,5,5,0
England-Ireland,SST,gpt-4,0.5,15,15,0
Germany-Austria,SST,gpt-4,0.5,15,18,-3
U.S.S.R.-France,SST,gpt-4,0.5,7,5,2
Belgium-Luxembourg,SST,gpt-4,0.5,18,17,1
U.S.A.-U.S.S.R.,SST,gpt-4,0.5,5,5,0
China-North Korea,SST,gpt-4,0.5,5,7,-2
India-Sri Lanka,SST,gpt-4,0.5,12,14,-2
U.S.A.-France,SST,gpt-4,0.5,15,15,0
U.S.S.R.-Cuba,SST,gpt-4,0.5,10,12,-2
England-Jordan,SST,gpt-4,0.5,5,12,-7
France-Israel,SST,gpt-4,0.5,12,12,0
U.S.A.-Germany,SST,gpt-4,0.5,15,15,0
U.S.S.R.-Syria,SST,gpt-4,0.5,5,4,1
France-Algeria,SST,gpt-4,0.5,7,5,2
U.S.A.-Mexico,SST,gpt-4,1.0,10,12,-2
U.S.S.R.-Poland,SST,gpt-4,1.0,8,6,2
China-Albania,SST,gpt-4,1.0,7,5,2
U.S.A.-Israel,SST,gpt-4,1.0,12,12,0
Japan-Philippines,SST,gpt-4,1.0,12,10,2
U.S.A.-Canada,SST,gpt-4,1.0,16,18,-2
U.S.S.R.-Israel,SST,gpt-4,1.0,5,2,3
England-Ireland,SST,gpt-4,1.0,16,15,1
Germany-Austria,SST,gpt-4,1.0,18,15,3
U.S.S.R.-France,SST,gpt-4,1.0,10,5,5
Belgium-Luxembourg,SST,gpt-4,1.0,18,16,2
U.S.A.-U.S.S.R.,SST,gpt-4,1.0,3,4,-1
China-North Korea,SST,gpt-4,1.0,5,5,0
India-Sri Lanka,SST,gpt-4,1.0,16,14,2
U.S.A.-France,SST,gpt-4,1.0,12,15,-3
U.S.S.R.-Cuba,SST,gpt-4,1.0,12,12,0
England-Jordan,SST,gpt-4,1.0,6,10,-4
France-Israel,SST,gpt-4,1.0,10,10,0
U.S.A.-Germany,SST,gpt-4,1.0,15,15,0
U.S.S.R.-Syria,SST,gpt-4,1.0,5,6,-1
France-Algeria,SST,gpt-4,1.0,7,12,-5
U.S.A.-Mexico,SST,gpt-4,1.5,7,14,-7
U.S.S.R.-Poland,SST,gpt-4,1.5,7,9,-2
China-Albania,SST,gpt-4,1.5,7,4,3
U.S.A.-Israel,SST,gpt-4,1.5,13,16,-3
Japan-Philippines,SST,gpt-4,1.5,13,15,-2
U.S.A.-Canada,SST,gpt-4,1.5,18,16,2
U.S.S.R.-Israel,SST,gpt-4,1.5,5,5,0
England-Ireland,SST,gpt-4,1.5,13,17,-4
Germany-Austria,SST,gpt-4,1.5,16,15,1
U.S.S.R.-France,SST,gpt-4,1.5,8,5,3
Belgium-Luxembourg,SST,gpt-4,1.5,17,17,0
U.S.A.-U.S.S.R.,SST,gpt-4,1.5,6,7,-1
China-North Korea,SST,gpt-4,1.5,2,8,-6
