,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff,country_pair,prompt_style,model_name,sim_diff
10,Belgium-Luxembourg,Dual_Similar_To (DST),mistral_7B,,Belgium-Luxembourg,Single_Similar_To (SST),mistral_7B,0.0,Belgium-Luxembourg,Single_Similar_And (SSA),mistral_7B,0.0,Belgium-Luxembourg,Dual_Similar_And (DSA),mistral_7B,,Belgium-Luxembourg,Single_Similar_Degree (SSD),mistral_7B,0,Belgium-Luxembourg,Dual_Similar_Degree (DSD),mistral_7B,
11,U.S.A.-U.S.S.R.,Dual_Similar_To (DST),mistral_7B,0.0,U.S.A.-U.S.S.R.,Single_Similar_To (SST),mistral_7B,-9.0,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),mistral_7B,0.0,U.S.A.-U.S.S.R.,Dual_Similar_And (DSA),mistral_7B,0.0,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),mistral_7B,0,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),mistral_7B,0.0
12,China-North Korea,Dual_Similar_To (DST),mistral_7B,0.0,China-North Korea,Single_Similar_To (SST),mistral_7B,2.0,China-North Korea,Single_Similar_And (SSA),mistral_7B,0.0,China-North Korea,Dual_Similar_And (DSA),mistral_7B,,China-North Korea,Single_Similar_Degree (SSD),mistral_7B,1,China-North Korea,Dual_Similar_Degree (DSD),mistral_7B,0.0
13,India-Sri Lanka,Dual_Similar_To (DST),mistral_7B,,India-Sri Lanka,Single_Similar_To (SST),mistral_7B,0.0,India-Sri Lanka,Single_Similar_And (SSA),mistral_7B,0.0,India-Sri Lanka,Dual_Similar_And (DSA),mistral_7B,,India-Sri Lanka,Single_Similar_Degree (SSD),mistral_7B,-2,India-Sri Lanka,Dual_Similar_Degree (DSD),mistral_7B,0.0
14,U.S.A.-France,Dual_Similar_To (DST),mistral_7B,0.0,U.S.A.-France,Single_Similar_To (SST),mistral_7B,0.0,U.S.A.-France,Single_Similar_And (SSA),mistral_7B,-3.0,U.S.A.-France,Dual_Similar_And (DSA),mistral_7B,0.0,U.S.A.-France,Single_Similar_Degree (SSD),mistral_7B,-3,U.S.A.-France,Dual_Similar_Degree (DSD),mistral_7B,0.0
15,U.S.S.R.-Cuba,Dual_Similar_To (DST),mistral_7B,0.0,U.S.S.R.-Cuba,Single_Similar_To (SST),mistral_7B,14.0,U.S.S.R.-Cuba,Single_Similar_And (SSA),mistral_7B,14.0,U.S.S.R.-Cuba,Dual_Similar_And (DSA),mistral_7B,0.0,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),mistral_7B,9,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),mistral_7B,0.0
16,England-Jordan,Dual_Similar_To (DST),mistral_7B,0.0,England-Jordan,Single_Similar_To (SST),mistral_7B,0.0,England-Jordan,Single_Similar_And (SSA),mistral_7B,0.0,England-Jordan,Dual_Similar_And (DSA),mistral_7B,0.0,England-Jordan,Single_Similar_Degree (SSD),mistral_7B,-10,England-Jordan,Dual_Similar_Degree (DSD),mistral_7B,0.0
17,France-Israel,Dual_Similar_To (DST),mistral_7B,0.0,France-Israel,Single_Similar_To (SST),mistral_7B,2.0,France-Israel,Single_Similar_And (SSA),mistral_7B,2.0,France-Israel,Dual_Similar_And (DSA),mistral_7B,,France-Israel,Single_Similar_Degree (SSD),mistral_7B,0,France-Israel,Dual_Similar_Degree (DSD),mistral_7B,0.0
18,U.S.A.-Germany,Dual_Similar_To (DST),mistral_7B,0.0,U.S.A.-Germany,Single_Similar_To (SST),mistral_7B,0.0,U.S.A.-Germany,Single_Similar_And (SSA),mistral_7B,-1.0,U.S.A.-Germany,Dual_Similar_And (DSA),mistral_7B,0.0,U.S.A.-Germany,Single_Similar_Degree (SSD),mistral_7B,0,U.S.A.-Germany,Dual_Similar_Degree (DSD),mistral_7B,0.0
19,U.S.S.R.-Syria,Dual_Similar_To (DST),mistral_7B,0.0,U.S.S.R.-Syria,Single_Similar_To (SST),mistral_7B,0.0,U.S.S.R.-Syria,Single_Similar_And (SSA),mistral_7B,0.0,U.S.S.R.-Syria,Dual_Similar_And (DSA),mistral_7B,0.0,U.S.S.R.-Syria,Single_Similar_Degree (SSD),mistral_7B,0,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),mistral_7B,0.0
20,France-Algeria,Dual_Similar_To (DST),mistral_7B,,France-Algeria,Single_Similar_To (SST),mistral_7B,0.0,France-Algeria,Single_Similar_And (SSA),mistral_7B,0.0,France-Algeria,Dual_Similar_And (DSA),mistral_7B,,France-Algeria,Single_Similar_Degree (SSD),mistral_7B,0,France-Algeria,Dual_Similar_Degree (DSD),mistral_7B,0.0
84,U.S.A.-Mexico,Dual_Similar_To (DST),llama2_7B,5.0,U.S.A.-Mexico,Single_Similar_To (SST),llama2_7B,0.0,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_7B,0.0,U.S.A.-Mexico,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.A.-Mexico,Single_Similar_Degree (SSD),llama2_7B,0,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama2_7B,5.0
85,U.S.S.R.-Poland,Dual_Similar_To (DST),llama2_7B,5.0,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_7B,10.0,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_7B,0.0,U.S.S.R.-Poland,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.S.R.-Poland,Single_Similar_Degree (SSD),llama2_7B,5,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama2_7B,5.0
86,China-Albania,Dual_Similar_To (DST),llama2_7B,-5.0,China-Albania,Single_Similar_To (SST),llama2_7B,0.0,China-Albania,Single_Similar_And (SSA),llama2_7B,2.0,China-Albania,Dual_Similar_And (DSA),llama2_7B,-7.0,China-Albania,Single_Similar_Degree (SSD),llama2_7B,3,China-Albania,Dual_Similar_Degree (DSD),llama2_7B,-5.0
87,U.S.A.-Israel,Dual_Similar_To (DST),llama2_7B,5.0,U.S.A.-Israel,Single_Similar_To (SST),llama2_7B,0.0,U.S.A.-Israel,Single_Similar_And (SSA),llama2_7B,0.0,U.S.A.-Israel,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.A.-Israel,Single_Similar_Degree (SSD),llama2_7B,0,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama2_7B,7.0
88,Japan-Philippines,Dual_Similar_To (DST),llama2_7B,-5.0,Japan-Philippines,Single_Similar_To (SST),llama2_7B,-5.0,Japan-Philippines,Single_Similar_And (SSA),llama2_7B,-5.0,Japan-Philippines,Dual_Similar_And (DSA),llama2_7B,5.0,Japan-Philippines,Single_Similar_Degree (SSD),llama2_7B,-5,Japan-Philippines,Dual_Similar_Degree (DSD),llama2_7B,5.0
89,U.S.A.-Canada,Dual_Similar_To (DST),llama2_7B,5.0,U.S.A.-Canada,Single_Similar_To (SST),llama2_7B,0.0,U.S.A.-Canada,Single_Similar_And (SSA),llama2_7B,0.0,U.S.A.-Canada,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.A.-Canada,Single_Similar_Degree (SSD),llama2_7B,0,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama2_7B,2.0
90,U.S.S.R.-Israel,Dual_Similar_To (DST),llama2_7B,-5.0,U.S.S.R.-Israel,Single_Similar_To (SST),llama2_7B,3.0,U.S.S.R.-Israel,Single_Similar_And (SSA),llama2_7B,0.0,U.S.S.R.-Israel,Dual_Similar_And (DSA),llama2_7B,-7.0,U.S.S.R.-Israel,Single_Similar_Degree (SSD),llama2_7B,0,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama2_7B,5.0
91,England-Ireland,Dual_Similar_To (DST),llama2_7B,5.0,England-Ireland,Single_Similar_To (SST),llama2_7B,0.0,England-Ireland,Single_Similar_And (SSA),llama2_7B,0.0,England-Ireland,Dual_Similar_And (DSA),llama2_7B,5.0,England-Ireland,Single_Similar_Degree (SSD),llama2_7B,0,England-Ireland,Dual_Similar_Degree (DSD),llama2_7B,5.0
92,Germany-Austria,Dual_Similar_To (DST),llama2_7B,5.0,Germany-Austria,Single_Similar_To (SST),llama2_7B,0.0,Germany-Austria,Single_Similar_And (SSA),llama2_7B,0.0,Germany-Austria,Dual_Similar_And (DSA),llama2_7B,5.0,Germany-Austria,Single_Similar_Degree (SSD),llama2_7B,0,Germany-Austria,Dual_Similar_Degree (DSD),llama2_7B,5.0
93,U.S.S.R.-France,Dual_Similar_To (DST),llama2_7B,-5.0,U.S.S.R.-France,Single_Similar_To (SST),llama2_7B,5.0,U.S.S.R.-France,Single_Similar_And (SSA),llama2_7B,0.0,U.S.S.R.-France,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.S.R.-France,Single_Similar_Degree (SSD),llama2_7B,0,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama2_7B,5.0
94,Belgium-Luxembourg,Dual_Similar_To (DST),llama2_7B,5.0,Belgium-Luxembourg,Single_Similar_To (SST),llama2_7B,0.0,Belgium-Luxembourg,Single_Similar_And (SSA),llama2_7B,0.0,Belgium-Luxembourg,Dual_Similar_And (DSA),llama2_7B,5.0,Belgium-Luxembourg,Single_Similar_Degree (SSD),llama2_7B,0,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama2_7B,5.0
95,U.S.A.-U.S.S.R.,Dual_Similar_To (DST),llama2_7B,-5.0,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama2_7B,-5.0,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama2_7B,0.0,U.S.A.-U.S.S.R.,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),llama2_7B,0,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama2_7B,5.0
96,China-North Korea,Dual_Similar_To (DST),llama2_7B,-5.0,China-North Korea,Single_Similar_To (SST),llama2_7B,-5.0,China-North Korea,Single_Similar_And (SSA),llama2_7B,0.0,China-North Korea,Dual_Similar_And (DSA),llama2_7B,5.0,China-North Korea,Single_Similar_Degree (SSD),llama2_7B,0,China-North Korea,Dual_Similar_Degree (DSD),llama2_7B,5.0
97,India-Sri Lanka,Dual_Similar_To (DST),llama2_7B,5.0,India-Sri Lanka,Single_Similar_To (SST),llama2_7B,0.0,India-Sri Lanka,Single_Similar_And (SSA),llama2_7B,0.0,India-Sri Lanka,Dual_Similar_And (DSA),llama2_7B,5.0,India-Sri Lanka,Single_Similar_Degree (SSD),llama2_7B,0,India-Sri Lanka,Dual_Similar_Degree (DSD),llama2_7B,5.0
98,U.S.A.-France,Dual_Similar_To (DST),llama2_7B,5.0,U.S.A.-France,Single_Similar_To (SST),llama2_7B,0.0,U.S.A.-France,Single_Similar_And (SSA),llama2_7B,0.0,U.S.A.-France,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.A.-France,Single_Similar_Degree (SSD),llama2_7B,5,U.S.A.-France,Dual_Similar_Degree (DSD),llama2_7B,5.0
99,U.S.S.R.-Cuba,Dual_Similar_To (DST),llama2_7B,5.0,U.S.S.R.-Cuba,Single_Similar_To (SST),llama2_7B,0.0,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama2_7B,0.0,U.S.S.R.-Cuba,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),llama2_7B,0,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama2_7B,2.0
100,England-Jordan,Dual_Similar_To (DST),llama2_7B,-5.0,England-Jordan,Single_Similar_To (SST),llama2_7B,0.0,England-Jordan,Single_Similar_And (SSA),llama2_7B,0.0,England-Jordan,Dual_Similar_And (DSA),llama2_7B,-7.0,England-Jordan,Single_Similar_Degree (SSD),llama2_7B,0,England-Jordan,Dual_Similar_Degree (DSD),llama2_7B,5.0
101,France-Israel,Dual_Similar_To (DST),llama2_7B,5.0,France-Israel,Single_Similar_To (SST),llama2_7B,0.0,France-Israel,Single_Similar_And (SSA),llama2_7B,0.0,France-Israel,Dual_Similar_And (DSA),llama2_7B,5.0,France-Israel,Single_Similar_Degree (SSD),llama2_7B,0,France-Israel,Dual_Similar_Degree (DSD),llama2_7B,5.0
102,U.S.A.-Germany,Dual_Similar_To (DST),llama2_7B,5.0,U.S.A.-Germany,Single_Similar_To (SST),llama2_7B,0.0,U.S.A.-Germany,Single_Similar_And (SSA),llama2_7B,0.0,U.S.A.-Germany,Dual_Similar_And (DSA),llama2_7B,5.0,U.S.A.-Germany,Single_Similar_Degree (SSD),llama2_7B,0,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama2_7B,5.0
103,U.S.S.R.-Syria,Dual_Similar_To (DST),llama2_7B,-5.0,U.S.S.R.-Syria,Single_Similar_To (SST),llama2_7B,-5.0,U.S.S.R.-Syria,Single_Similar_And (SSA),llama2_7B,-7.0,U.S.S.R.-Syria,Dual_Similar_And (DSA),llama2_7B,-7.0,U.S.S.R.-Syria,Single_Similar_Degree (SSD),llama2_7B,0,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama2_7B,5.0
104,France-Algeria,Dual_Similar_To (DST),llama2_7B,5.0,France-Algeria,Single_Similar_To (SST),llama2_7B,0.0,France-Algeria,Single_Similar_And (SSA),llama2_7B,0.0,France-Algeria,Dual_Similar_And (DSA),llama2_7B,5.0,France-Algeria,Single_Similar_Degree (SSD),llama2_7B,-5,France-Algeria,Dual_Similar_Degree (DSD),llama2_7B,5.0
168,U.S.A.-Mexico,Dual_Similar_To (DST),llama3_8B,0.0,U.S.A.-Mexico,Single_Similar_To (SST),llama3_8B,-4.0,U.S.A.-Mexico,Single_Similar_And (SSA),llama3_8B,0.0,U.S.A.-Mexico,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.A.-Mexico,Single_Similar_Degree (SSD),llama3_8B,-2,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama3_8B,0.0
169,U.S.S.R.-Poland,Dual_Similar_To (DST),llama3_8B,0.0,U.S.S.R.-Poland,Single_Similar_To (SST),llama3_8B,2.0,U.S.S.R.-Poland,Single_Similar_And (SSA),llama3_8B,2.0,U.S.S.R.-Poland,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.S.R.-Poland,Single_Similar_Degree (SSD),llama3_8B,0,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama3_8B,0.0
170,China-Albania,Dual_Similar_To (DST),llama3_8B,0.0,China-Albania,Single_Similar_To (SST),llama3_8B,0.0,China-Albania,Single_Similar_And (SSA),llama3_8B,0.0,China-Albania,Dual_Similar_And (DSA),llama3_8B,0.0,China-Albania,Single_Similar_Degree (SSD),llama3_8B,0,China-Albania,Dual_Similar_Degree (DSD),llama3_8B,0.0
171,U.S.A.-Israel,Dual_Similar_To (DST),llama3_8B,0.0,U.S.A.-Israel,Single_Similar_To (SST),llama3_8B,-8.0,U.S.A.-Israel,Single_Similar_And (SSA),llama3_8B,-6.0,U.S.A.-Israel,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.A.-Israel,Single_Similar_Degree (SSD),llama3_8B,-8,U.S.A.-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.0
172,Japan-Philippines,Dual_Similar_To (DST),llama3_8B,0.0,Japan-Philippines,Single_Similar_To (SST),llama3_8B,2.0,Japan-Philippines,Single_Similar_And (SSA),llama3_8B,0.0,Japan-Philippines,Dual_Similar_And (DSA),llama3_8B,0.0,Japan-Philippines,Single_Similar_Degree (SSD),llama3_8B,-2,Japan-Philippines,Dual_Similar_Degree (DSD),llama3_8B,0.0
173,U.S.A.-Canada,Dual_Similar_To (DST),llama3_8B,0.0,U.S.A.-Canada,Single_Similar_To (SST),llama3_8B,-4.0,U.S.A.-Canada,Single_Similar_And (SSA),llama3_8B,0.0,U.S.A.-Canada,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.A.-Canada,Single_Similar_Degree (SSD),llama3_8B,0,U.S.A.-Canada,Dual_Similar_Degree (DSD),llama3_8B,0.0
174,U.S.S.R.-Israel,Dual_Similar_To (DST),llama3_8B,0.0,U.S.S.R.-Israel,Single_Similar_To (SST),llama3_8B,0.0,U.S.S.R.-Israel,Single_Similar_And (SSA),llama3_8B,0.0,U.S.S.R.-Israel,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.S.R.-Israel,Single_Similar_Degree (SSD),llama3_8B,0,U.S.S.R.-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.0
175,England-Ireland,Dual_Similar_To (DST),llama3_8B,0.0,England-Ireland,Single_Similar_To (SST),llama3_8B,0.0,England-Ireland,Single_Similar_And (SSA),llama3_8B,0.0,England-Ireland,Dual_Similar_And (DSA),llama3_8B,0.0,England-Ireland,Single_Similar_Degree (SSD),llama3_8B,0,England-Ireland,Dual_Similar_Degree (DSD),llama3_8B,0.0
176,Germany-Austria,Dual_Similar_To (DST),llama3_8B,0.0,Germany-Austria,Single_Similar_To (SST),llama3_8B,0.0,Germany-Austria,Single_Similar_And (SSA),llama3_8B,4.0,Germany-Austria,Dual_Similar_And (DSA),llama3_8B,0.0,Germany-Austria,Single_Similar_Degree (SSD),llama3_8B,4,Germany-Austria,Dual_Similar_Degree (DSD),llama3_8B,0.0
177,U.S.S.R.-France,Dual_Similar_To (DST),llama3_8B,0.0,U.S.S.R.-France,Single_Similar_To (SST),llama3_8B,0.0,U.S.S.R.-France,Single_Similar_And (SSA),llama3_8B,0.0,U.S.S.R.-France,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.S.R.-France,Single_Similar_Degree (SSD),llama3_8B,2,U.S.S.R.-France,Dual_Similar_Degree (DSD),llama3_8B,0.0
178,Belgium-Luxembourg,Dual_Similar_To (DST),llama3_8B,0.0,Belgium-Luxembourg,Single_Similar_To (SST),llama3_8B,0.0,Belgium-Luxembourg,Single_Similar_And (SSA),llama3_8B,0.0,Belgium-Luxembourg,Dual_Similar_And (DSA),llama3_8B,0.0,Belgium-Luxembourg,Single_Similar_Degree (SSD),llama3_8B,4,Belgium-Luxembourg,Dual_Similar_Degree (DSD),llama3_8B,0.0
179,U.S.A.-U.S.S.R.,Dual_Similar_To (DST),llama3_8B,0.0,U.S.A.-U.S.S.R.,Single_Similar_To (SST),llama3_8B,-2.0,U.S.A.-U.S.S.R.,Single_Similar_And (SSA),llama3_8B,0.0,U.S.A.-U.S.S.R.,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.A.-U.S.S.R.,Single_Similar_Degree (SSD),llama3_8B,-2,U.S.A.-U.S.S.R.,Dual_Similar_Degree (DSD),llama3_8B,0.0
180,China-North Korea,Dual_Similar_To (DST),llama3_8B,0.0,China-North Korea,Single_Similar_To (SST),llama3_8B,0.0,China-North Korea,Single_Similar_And (SSA),llama3_8B,0.0,China-North Korea,Dual_Similar_And (DSA),llama3_8B,0.0,China-North Korea,Single_Similar_Degree (SSD),llama3_8B,0,China-North Korea,Dual_Similar_Degree (DSD),llama3_8B,0.0
181,India-Sri Lanka,Dual_Similar_To (DST),llama3_8B,0.0,India-Sri Lanka,Single_Similar_To (SST),llama3_8B,-3.0,India-Sri Lanka,Single_Similar_And (SSA),llama3_8B,-4.0,India-Sri Lanka,Dual_Similar_And (DSA),llama3_8B,0.0,India-Sri Lanka,Single_Similar_Degree (SSD),llama3_8B,-3,India-Sri Lanka,Dual_Similar_Degree (DSD),llama3_8B,0.0
182,U.S.A.-France,Dual_Similar_To (DST),llama3_8B,0.0,U.S.A.-France,Single_Similar_To (SST),llama3_8B,0.0,U.S.A.-France,Single_Similar_And (SSA),llama3_8B,-8.0,U.S.A.-France,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.A.-France,Single_Similar_Degree (SSD),llama3_8B,-6,U.S.A.-France,Dual_Similar_Degree (DSD),llama3_8B,0.0
183,U.S.S.R.-Cuba,Dual_Similar_To (DST),llama3_8B,0.0,U.S.S.R.-Cuba,Single_Similar_To (SST),llama3_8B,0.0,U.S.S.R.-Cuba,Single_Similar_And (SSA),llama3_8B,2.0,U.S.S.R.-Cuba,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.S.R.-Cuba,Single_Similar_Degree (SSD),llama3_8B,0,U.S.S.R.-Cuba,Dual_Similar_Degree (DSD),llama3_8B,0.0
184,England-Jordan,Dual_Similar_To (DST),llama3_8B,0.0,England-Jordan,Single_Similar_To (SST),llama3_8B,-2.0,England-Jordan,Single_Similar_And (SSA),llama3_8B,-2.0,England-Jordan,Dual_Similar_And (DSA),llama3_8B,0.0,England-Jordan,Single_Similar_Degree (SSD),llama3_8B,-2,England-Jordan,Dual_Similar_Degree (DSD),llama3_8B,0.0
185,France-Israel,Dual_Similar_To (DST),llama3_8B,0.0,France-Israel,Single_Similar_To (SST),llama3_8B,0.0,France-Israel,Single_Similar_And (SSA),llama3_8B,0.0,France-Israel,Dual_Similar_And (DSA),llama3_8B,0.0,France-Israel,Single_Similar_Degree (SSD),llama3_8B,0,France-Israel,Dual_Similar_Degree (DSD),llama3_8B,0.0
186,U.S.A.-Germany,Dual_Similar_To (DST),llama3_8B,0.0,U.S.A.-Germany,Single_Similar_To (SST),llama3_8B,-8.0,U.S.A.-Germany,Single_Similar_And (SSA),llama3_8B,-2.0,U.S.A.-Germany,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.A.-Germany,Single_Similar_Degree (SSD),llama3_8B,0,U.S.A.-Germany,Dual_Similar_Degree (DSD),llama3_8B,0.0
187,U.S.S.R.-Syria,Dual_Similar_To (DST),llama3_8B,0.0,U.S.S.R.-Syria,Single_Similar_To (SST),llama3_8B,0.0,U.S.S.R.-Syria,Single_Similar_And (SSA),llama3_8B,0.0,U.S.S.R.-Syria,Dual_Similar_And (DSA),llama3_8B,0.0,U.S.S.R.-Syria,Single_Similar_Degree (SSD),llama3_8B,0,U.S.S.R.-Syria,Dual_Similar_Degree (DSD),llama3_8B,0.0
188,France-Algeria,Dual_Similar_To (DST),llama3_8B,0.0,France-Algeria,Single_Similar_To (SST),llama3_8B,0.0,France-Algeria,Single_Similar_And (SSA),llama3_8B,-2.0,France-Algeria,Dual_Similar_And (DSA),llama3_8B,0.0,France-Algeria,Single_Similar_Degree (SSD),llama3_8B,0,France-Algeria,Dual_Similar_Degree (DSD),llama3_8B,0.0
252,U.S.A.-Mexico,Dual_Similar_To (DST),llama2_13B,3.0,U.S.A.-Mexico,Single_Similar_To (SST),llama2_13B,0.0,U.S.A.-Mexico,Single_Similar_And (SSA),llama2_13B,0.0,U.S.A.-Mexico,Dual_Similar_And (DSA),llama2_13B,-3.0,U.S.A.-Mexico,Single_Similar_Degree (SSD),llama2_13B,-5,U.S.A.-Mexico,Dual_Similar_Degree (DSD),llama2_13B,2.0
253,U.S.S.R.-Poland,Dual_Similar_To (DST),llama2_13B,-3.0,U.S.S.R.-Poland,Single_Similar_To (SST),llama2_13B,0.0,U.S.S.R.-Poland,Single_Similar_And (SSA),llama2_13B,0.0,U.S.S.R.-Poland,Dual_Similar_And (DSA),llama2_13B,-4.0,U.S.S.R.-Poland,Single_Similar_Degree (SSD),llama2_13B,0,U.S.S.R.-Poland,Dual_Similar_Degree (DSD),llama2_13B,-3.0
