country_pair,prompt_style,model_name,temperature,sim_score_1,sim_score_2,sim_diff
U.S.S.R.-France,SSD,mistral_7B,0.5,0,0,0
Belgium-Luxembourg,SSD,mistral_7B,0.5,18,18,0
U.S.A.-U.S.S.R.,SSD,mistral_7B,0.5,2,8,-6
China-North Korea,SSD,mistral_7B,0.5,6,8,-2
India-Sri Lanka,SSD,mistral_7B,0.5,12,13,-1
U.S.A.-France,SSD,mistral_7B,0.5,13,12,1
U.S.S.R.-Cuba,SSD,mistral_7B,0.5,6,10,-4
England-Jordan,SSD,mistral_7B,0.5,5,9,-4
France-Israel,SSD,mistral_7B,0.5,12,12,0
U.S.A.-Germany,SSD,mistral_7B,0.5,12,10,2
U.S.S.R.-Syria,SSD,mistral_7B,0.5,2,2,0
France-Algeria,SSD,mistral_7B,0.5,12,12,0
U.S.A.-Mexico,SSD,mistral_7B,1.0,6,9,-3
U.S.S.R.-Poland,SSD,mistral_7B,1.0,1,10,-9
China-Albania,SSD,mistral_7B,1.0,3,2,1
U.S.A.-Israel,SSD,mistral_7B,1.0,18,12,6
Japan-Philippines,SSD,mistral_7B,1.0,10,5,5
U.S.A.-Canada,SSD,mistral_7B,1.0,10,17,-7
U.S.S.R.-Israel,SSD,mistral_7B,1.0,3,0,3
England-Ireland,SSD,mistral_7B,1.0,14,18,-4
Germany-Austria,SSD,mistral_7B,1.0,8,19,-11
U.S.S.R.-France,SSD,mistral_7B,1.0,10,2,8
Belgium-Luxembourg,SSD,mistral_7B,1.0,19,12,7
U.S.A.-U.S.S.R.,SSD,mistral_7B,1.0,10,2,8
China-North Korea,SSD,mistral_7B,1.0,10,15,-5
India-Sri Lanka,SSD,mistral_7B,1.0,6,18,-12
U.S.A.-France,SSD,mistral_7B,1.0,8,8,0
U.S.S.R.-Cuba,SSD,mistral_7B,1.0,4,8,-4
England-Jordan,SSD,mistral_7B,1.0,5,10,-5
France-Israel,SSD,mistral_7B,1.0,18,13,5
U.S.A.-Germany,SSD,mistral_7B,1.0,15,8,7
U.S.S.R.-Syria,SSD,mistral_7B,1.0,0,10,-10
France-Algeria,SSD,mistral_7B,1.0,8,12,-4
U.S.A.-Mexico,SSD,mistral_7B,1.5,7,18,-11
U.S.S.R.-Poland,SSD,mistral_7B,1.5,2,8,-6
China-Albania,SSD,mistral_7B,1.5,6,1,5
U.S.A.-Israel,SSD,mistral_7B,1.5,12,9,3
Japan-Philippines,SSD,mistral_7B,1.5,8,10,-2
U.S.A.-Canada,SSD,mistral_7B,1.5,10,8,2
U.S.S.R.-Israel,SSD,mistral_7B,1.5,8,0,8
England-Ireland,SSD,mistral_7B,1.5,8,18,-10
Germany-Austria,SSD,mistral_7B,1.5,8,19,-11
U.S.S.R.-France,SSD,mistral_7B,1.5,10,20,-10
Belgium-Luxembourg,SSD,mistral_7B,1.5,18,18,0
U.S.A.-U.S.S.R.,SSD,mistral_7B,1.5,12,4,8
China-North Korea,SSD,mistral_7B,1.5,2,8,-6
India-Sri Lanka,SSD,mistral_7B,1.5,12,12,0
U.S.A.-France,SSD,mistral_7B,1.5,12,12,0
U.S.S.R.-Cuba,SSD,mistral_7B,1.5,3,0,3
England-Jordan,SSD,mistral_7B,1.5,3,8,-5
France-Israel,SSD,mistral_7B,1.5,8,10,-2
U.S.A.-Germany,SSD,mistral_7B,1.5,10,8,2
U.S.S.R.-Syria,SSD,mistral_7B,1.5,2,2,0
France-Algeria,SSD,mistral_7B,1.5,7,7,0
U.S.A.-Mexico,SSD,llama2_7B,0.001,10,10,0
U.S.S.R.-Poland,SSD,llama2_7B,0.001,10,10,0
China-Albania,SSD,llama2_7B,0.001,8,8,0
U.S.A.-Israel,SSD,llama2_7B,0.001,10,10,0
Japan-Philippines,SSD,llama2_7B,0.001,10,10,0
U.S.A.-Canada,SSD,llama2_7B,0.001,15,15,0
U.S.S.R.-Israel,SSD,llama2_7B,0.001,10,10,0
England-Ireland,SSD,llama2_7B,0.001,10,10,0
Germany-Austria,SSD,llama2_7B,0.001,15,15,0
U.S.S.R.-France,SSD,llama2_7B,0.001,10,10,0
Belgium-Luxembourg,SSD,llama2_7B,0.001,15,15,0
U.S.A.-U.S.S.R.,SSD,llama2_7B,0.001,10,10,0
China-North Korea,SSD,llama2_7B,0.001,10,10,0
India-Sri Lanka,SSD,llama2_7B,0.001,10,10,0
U.S.A.-France,SSD,llama2_7B,0.001,10,10,0
U.S.S.R.-Cuba,SSD,llama2_7B,0.001,10,10,0
England-Jordan,SSD,llama2_7B,0.001,10,10,0
France-Israel,SSD,llama2_7B,0.001,10,10,0
U.S.A.-Germany,SSD,llama2_7B,0.001,10,10,0
U.S.S.R.-Syria,SSD,llama2_7B,0.001,10,10,0
France-Algeria,SSD,llama2_7B,0.001,10,10,0
U.S.A.-Mexico,SSD,llama2_7B,0.5,10,10,0
U.S.S.R.-Poland,SSD,llama2_7B,0.5,10,10,0
China-Albania,SSD,llama2_7B,0.5,8,10,-2
U.S.A.-Israel,SSD,llama2_7B,0.5,10,13,-3
Japan-Philippines,SSD,llama2_7B,0.5,10,10,0
U.S.A.-Canada,SSD,llama2_7B,0.5,15,15,0
U.S.S.R.-Israel,SSD,llama2_7B,0.5,10,10,0
England-Ireland,SSD,llama2_7B,0.5,10,10,0
Germany-Austria,SSD,llama2_7B,0.5,15,15,0
U.S.S.R.-France,SSD,llama2_7B,0.5,10,10,0
Belgium-Luxembourg,SSD,llama2_7B,0.5,15,10,5
U.S.A.-U.S.S.R.,SSD,llama2_7B,0.5,10,10,0
China-North Korea,SSD,llama2_7B,0.5,10,10,0
India-Sri Lanka,SSD,llama2_7B,0.5,10,15,-5
U.S.A.-France,SSD,llama2_7B,0.5,10,10,0
U.S.S.R.-Cuba,SSD,llama2_7B,0.5,10,10,0
England-Jordan,SSD,llama2_7B,0.5,8,10,-2
France-Israel,SSD,llama2_7B,0.5,10,10,0
U.S.A.-Germany,SSD,llama2_7B,0.5,10,10,0
U.S.S.R.-Syria,SSD,llama2_7B,0.5,10,10,0
France-Algeria,SSD,llama2_7B,0.5,10,10,0
U.S.A.-Mexico,SSD,llama2_7B,1.0,10,12,-2
U.S.S.R.-Poland,SSD,llama2_7B,1.0,10,10,0
China-Albania,SSD,llama2_7B,1.0,8,10,-2
U.S.A.-Israel,SSD,llama2_7B,1.0,10,10,0
Japan-Philippines,SSD,llama2_7B,1.0,10,10,0
U.S.A.-Canada,SSD,llama2_7B,1.0,10,10,0
U.S.S.R.-Israel,SSD,llama2_7B,1.0,10,10,0
England-Ireland,SSD,llama2_7B,1.0,10,10,0
Germany-Austria,SSD,llama2_7B,1.0,10,16,-6
U.S.S.R.-France,SSD,llama2_7B,1.0,10,10,0
Belgium-Luxembourg,SSD,llama2_7B,1.0,10,15,-5
U.S.A.-U.S.S.R.,SSD,llama2_7B,1.0,10,10,0
China-North Korea,SSD,llama2_7B,1.0,10,15,-5
India-Sri Lanka,SSD,llama2_7B,1.0,10,10,0
U.S.A.-France,SSD,llama2_7B,1.0,10,10,0
U.S.S.R.-Cuba,SSD,llama2_7B,1.0,10,10,0
England-Jordan,SSD,llama2_7B,1.0,8,10,-2
France-Israel,SSD,llama2_7B,1.0,10,10,0
U.S.A.-Germany,SSD,llama2_7B,1.0,10,10,0
U.S.S.R.-Syria,SSD,llama2_7B,1.0,10,10,0
France-Algeria,SSD,llama2_7B,1.0,10,10,0
U.S.A.-Mexico,SSD,llama2_7B,1.5,10,12,-2
U.S.S.R.-Poland,SSD,llama2_7B,1.5,10,10,0
China-Albania,SSD,llama2_7B,1.5,3,8,-5
U.S.A.-Israel,SSD,llama2_7B,1.5,10,13,-3
Japan-Philippines,SSD,llama2_7B,1.5,13,10,3
U.S.A.-Canada,SSD,llama2_7B,1.5,10,12,-2
U.S.S.R.-Israel,SSD,llama2_7B,1.5,10,10,0
England-Ireland,SSD,llama2_7B,1.5,15,10,5
Germany-Austria,SSD,llama2_7B,1.5,15,15,0
U.S.S.R.-France,SSD,llama2_7B,1.5,10,10,0
Belgium-Luxembourg,SSD,llama2_7B,1.5,10,10,0
U.S.A.-U.S.S.R.,SSD,llama2_7B,1.5,10,10,0
China-North Korea,SSD,llama2_7B,1.5,10,15,-5
India-Sri Lanka,SSD,llama2_7B,1.5,10,15,-5
U.S.A.-France,SSD,llama2_7B,1.5,10,10,0
U.S.S.R.-Cuba,SSD,llama2_7B,1.5,10,12,-2
England-Jordan,SSD,llama2_7B,1.5,8,10,-2
France-Israel,SSD,llama2_7B,1.5,10,10,0
U.S.A.-Germany,SSD,llama2_7B,1.5,10,10,0
U.S.S.R.-Syria,SSD,llama2_7B,1.5,8,10,-2
France-Algeria,SSD,llama2_7B,1.5,10,10,0
U.S.A.-Mexico,SSD,llama3_8B,0.001,12,12,0
U.S.S.R.-Poland,SSD,llama3_8B,0.001,2,2,0
China-Albania,SSD,llama3_8B,0.001,2,2,0
U.S.A.-Israel,SSD,llama3_8B,0.001,12,12,0
Japan-Philippines,SSD,llama3_8B,0.001,8,8,0
U.S.A.-Canada,SSD,llama3_8B,0.001,14,14,0
U.S.S.R.-Israel,SSD,llama3_8B,0.001,2,2,0
England-Ireland,SSD,llama3_8B,0.001,12,12,0
Germany-Austria,SSD,llama3_8B,0.001,14,14,0
U.S.S.R.-France,SSD,llama3_8B,0.001,2,2,0
Belgium-Luxembourg,SSD,llama3_8B,0.001,14,14,0
U.S.A.-U.S.S.R.,SSD,llama3_8B,0.001,2,2,0
China-North Korea,SSD,llama3_8B,0.001,12,12,0
India-Sri Lanka,SSD,llama3_8B,0.001,12,12,0
U.S.A.-France,SSD,llama3_8B,0.001,8,12,-4
U.S.S.R.-Cuba,SSD,llama3_8B,0.001,2,2,0
England-Jordan,SSD,llama3_8B,0.001,2,2,0
France-Israel,SSD,llama3_8B,0.001,8,8,0
U.S.A.-Germany,SSD,llama3_8B,0.001,12,12,0
U.S.S.R.-Syria,SSD,llama3_8B,0.001,2,2,0
France-Algeria,SSD,llama3_8B,0.001,12,8,4
U.S.A.-Mexico,SSD,llama3_8B,0.5,12,12,0
U.S.S.R.-Poland,SSD,llama3_8B,0.5,2,2,0
China-Albania,SSD,llama3_8B,0.5,2,2,0
U.S.A.-Israel,SSD,llama3_8B,0.5,10,12,-2
Japan-Philippines,SSD,llama3_8B,0.5,8,8,0
U.S.A.-Canada,SSD,llama3_8B,0.5,18,15,3
U.S.S.R.-Israel,SSD,llama3_8B,0.5,2,2,0
England-Ireland,SSD,llama3_8B,0.5,12,12,0
Germany-Austria,SSD,llama3_8B,0.5,14,14,0
U.S.S.R.-France,SSD,llama3_8B,0.5,2,2,0
Belgium-Luxembourg,SSD,llama3_8B,0.5,14,16,-2
U.S.A.-U.S.S.R.,SSD,llama3_8B,0.5,2,2,0
China-North Korea,SSD,llama3_8B,0.5,15,12,3
India-Sri Lanka,SSD,llama3_8B,0.5,14,15,-1
U.S.A.-France,SSD,llama3_8B,0.5,8,10,-2
U.S.S.R.-Cuba,SSD,llama3_8B,0.5,2,2,0
England-Jordan,SSD,llama3_8B,0.5,2,2,0
France-Israel,SSD,llama3_8B,0.5,8,4,4
U.S.A.-Germany,SSD,llama3_8B,0.5,10,12,-2
U.S.S.R.-Syria,SSD,llama3_8B,0.5,2,2,0
France-Algeria,SSD,llama3_8B,0.5,10,8,2
U.S.A.-Mexico,SSD,llama3_8B,1.0,10,12,-2
U.S.S.R.-Poland,SSD,llama3_8B,1.0,2,2,0
China-Albania,SSD,llama3_8B,1.0,2,2,0
U.S.A.-Israel,SSD,llama3_8B,1.0,10,12,-2
Japan-Philippines,SSD,llama3_8B,1.0,8,8,0
U.S.A.-Canada,SSD,llama3_8B,1.0,14,16,-2
U.S.S.R.-Israel,SSD,llama3_8B,1.0,2,2,0
England-Ireland,SSD,llama3_8B,1.0,15,15,0
Germany-Austria,SSD,llama3_8B,1.0,12,12,0
U.S.S.R.-France,SSD,llama3_8B,1.0,2,2,0
Belgium-Luxembourg,SSD,llama3_8B,1.0,15,12,3
U.S.A.-U.S.S.R.,SSD,llama3_8B,1.0,2,2,0
China-North Korea,SSD,llama3_8B,1.0,10,14,-4
India-Sri Lanka,SSD,llama3_8B,1.0,14,12,2
U.S.A.-France,SSD,llama3_8B,1.0,8,12,-4
U.S.S.R.-Cuba,SSD,llama3_8B,1.0,4,2,2
England-Jordan,SSD,llama3_8B,1.0,2,2,0
France-Israel,SSD,llama3_8B,1.0,8,2,6
U.S.A.-Germany,SSD,llama3_8B,1.0,10,12,-2
U.S.S.R.-Syria,SSD,llama3_8B,1.0,2,0,2
France-Algeria,SSD,llama3_8B,1.0,8,12,-4
U.S.A.-Mexico,SSD,llama3_8B,1.5,10,12,-2
U.S.S.R.-Poland,SSD,llama3_8B,1.5,2,2,0
China-Albania,SSD,llama3_8B,1.5,2,2,0
U.S.A.-Israel,SSD,llama3_8B,1.5,12,12,0
Japan-Philippines,SSD,llama3_8B,1.5,8,8,0
U.S.A.-Canada,SSD,llama3_8B,1.5,14,15,-1
U.S.S.R.-Israel,SSD,llama3_8B,1.5,2,2,0
England-Ireland,SSD,llama3_8B,1.5,15,14,1
Germany-Austria,SSD,llama3_8B,1.5,12,12,0
U.S.S.R.-France,SSD,llama3_8B,1.5,2,2,0
Belgium-Luxembourg,SSD,llama3_8B,1.5,16,15,1
U.S.A.-U.S.S.R.,SSD,llama3_8B,1.5,2,2,0
China-North Korea,SSD,llama3_8B,1.5,15,14,1
India-Sri Lanka,SSD,llama3_8B,1.5,12,12,0
U.S.A.-France,SSD,llama3_8B,1.5,8,12,-4
U.S.S.R.-Cuba,SSD,llama3_8B,1.5,8,2,6
England-Jordan,SSD,llama3_8B,1.5,4,2,2
France-Israel,SSD,llama3_8B,1.5,8,8,0
U.S.A.-Germany,SSD,llama3_8B,1.5,12,10,2
U.S.S.R.-Syria,SSD,llama3_8B,1.5,2,2,0
France-Algeria,SSD,llama3_8B,1.5,12,8,4
U.S.A.-Mexico,SSD,llama2_13B,0.001,10,12,-2
U.S.S.R.-Poland,SSD,llama2_13B,0.001,8,5,3
China-Albania,SSD,llama2_13B,0.001,2,2,0
U.S.A.-Israel,SSD,llama2_13B,0.001,12,12,0
Japan-Philippines,SSD,llama2_13B,0.001,10,8,2
U.S.A.-Canada,SSD,llama2_13B,0.001,12,12,0
U.S.S.R.-Israel,SSD,llama2_13B,0.001,8,8,0
England-Ireland,SSD,llama2_13B,0.001,12,12,0
Germany-Austria,SSD,llama2_13B,0.001,12,12,0
U.S.S.R.-France,SSD,llama2_13B,0.001,5,5,0
Belgium-Luxembourg,SSD,llama2_13B,0.001,12,12,0
U.S.A.-U.S.S.R.,SSD,llama2_13B,0.001,5,8,-3
China-North Korea,SSD,llama2_13B,0.001,8,12,-4
India-Sri Lanka,SSD,llama2_13B,0.001,12,12,0
U.S.A.-France,SSD,llama2_13B,0.001,10,12,-2
U.S.S.R.-Cuba,SSD,llama2_13B,0.001,12,10,2
England-Jordan,SSD,llama2_13B,0.001,8,10,-2
France-Israel,SSD,llama2_13B,0.001,12,12,0
U.S.A.-Germany,SSD,llama2_13B,0.001,12,12,0
U.S.S.R.-Syria,SSD,llama2_13B,0.001,8,2,6
France-Algeria,SSD,llama2_13B,0.001,8,8,0
U.S.A.-Mexico,SSD,llama2_13B,0.5,8,10,-2
U.S.S.R.-Poland,SSD,llama2_13B,0.5,8,3,5
China-Albania,SSD,llama2_13B,0.5,2,3,-1
U.S.A.-Israel,SSD,llama2_13B,0.5,12,12,0
Japan-Philippines,SSD,llama2_13B,0.5,12,8,4
U.S.A.-Canada,SSD,llama2_13B,0.5,12,12,0
U.S.S.R.-Israel,SSD,llama2_13B,0.5,8,8,0
England-Ireland,SSD,llama2_13B,0.5,12,12,0
Germany-Austria,SSD,llama2_13B,0.5,13,12,1
U.S.S.R.-France,SSD,llama2_13B,0.5,3,3,0
Belgium-Luxembourg,SSD,llama2_13B,0.5,12,12,0
U.S.A.-U.S.S.R.,SSD,llama2_13B,0.5,8,10,-2
China-North Korea,SSD,llama2_13B,0.5,8,10,-2
India-Sri Lanka,SSD,llama2_13B,0.5,10,12,-2
U.S.A.-France,SSD,llama2_13B,0.5,10,10,0
U.S.S.R.-Cuba,SSD,llama2_13B,0.5,10,10,0
England-Jordan,SSD,llama2_13B,0.5,4,12,-8
France-Israel,SSD,llama2_13B,0.5,12,10,2
U.S.A.-Germany,SSD,llama2_13B,0.5,12,12,0
U.S.S.R.-Syria,SSD,llama2_13B,0.5,8,8,0
France-Algeria,SSD,llama2_13B,0.5,8,8,0
U.S.A.-Mexico,SSD,llama2_13B,1.0,10,10,0
U.S.S.R.-Poland,SSD,llama2_13B,1.0,8,4,4
China-Albania,SSD,llama2_13B,1.0,8,2,6
U.S.A.-Israel,SSD,llama2_13B,1.0,12,10,2
Japan-Philippines,SSD,llama2_13B,1.0,10,8,2
U.S.A.-Canada,SSD,llama2_13B,1.0,12,10,2
U.S.S.R.-Israel,SSD,llama2_13B,1.0,3,2,1
England-Ireland,SSD,llama2_13B,1.0,12,1,11
Germany-Austria,SSD,llama2_13B,1.0,12,12,0
U.S.S.R.-France,SSD,llama2_13B,1.0,3,3,0
Belgium-Luxembourg,SSD,llama2_13B,1.0,12,12,0
U.S.A.-U.S.S.R.,SSD,llama2_13B,1.0,8,8,0
China-North Korea,SSD,llama2_13B,1.0,8,12,-4
India-Sri Lanka,SSD,llama2_13B,1.0,10,10,0
U.S.A.-France,SSD,llama2_13B,1.0,8,12,-4
U.S.S.R.-Cuba,SSD,llama2_13B,1.0,12,8,4
England-Jordan,SSD,llama2_13B,1.0,8,10,-2
France-Israel,SSD,llama2_13B,1.0,10,12,-2
U.S.A.-Germany,SSD,llama2_13B,1.0,10,12,-2
U.S.S.R.-Syria,SSD,llama2_13B,1.0,8,3,5
France-Algeria,SSD,llama2_13B,1.0,8,10,-2
U.S.A.-Mexico,SSD,llama2_13B,1.5,12,10,2
U.S.S.R.-Poland,SSD,llama2_13B,1.5,3,8,-5
China-Albania,SSD,llama2_13B,1.5,4,3,1
U.S.A.-Israel,SSD,llama2_13B,1.5,12,10,2
Japan-Philippines,SSD,llama2_13B,1.5,12,8,4
U.S.A.-Canada,SSD,llama2_13B,1.5,12,10,2
U.S.S.R.-Israel,SSD,llama2_13B,1.5,5,4,1
England-Ireland,SSD,llama2_13B,1.5,10,12,-2
Germany-Austria,SSD,llama2_13B,1.5,12,12,0
U.S.S.R.-France,SSD,llama2_13B,1.5,4,8,-4
Belgium-Luxembourg,SSD,llama2_13B,1.5,12,12,0
U.S.A.-U.S.S.R.,SSD,llama2_13B,1.5,8,10,-2
China-North Korea,SSD,llama2_13B,1.5,8,8,0
India-Sri Lanka,SSD,llama2_13B,1.5,10,8,2
U.S.A.-France,SSD,llama2_13B,1.5,4,12,-8
U.S.S.R.-Cuba,SSD,llama2_13B,1.5,12,12,0
England-Jordan,SSD,llama2_13B,1.5,8,8,0
France-Israel,SSD,llama2_13B,1.5,1,10,-9
U.S.A.-Germany,SSD,llama2_13B,1.5,10,10,0
U.S.S.R.-Syria,SSD,llama2_13B,1.5,4,3,1
France-Algeria,SSD,llama2_13B,1.5,10,5,5
U.S.A.-Mexico,SST,mistral_7B,0.001,12,12,0
U.S.S.R.-Poland,SST,mistral_7B,0.001,10,10,0
China-Albania,SST,mistral_7B,0.001,10,2,8
U.S.A.-Israel,SST,mistral_7B,0.001,12,12,0
Japan-Philippines,SST,mistral_7B,0.001,12,12,0
U.S.A.-Canada,SST,mistral_7B,0.001,18,12,6
U.S.S.R.-Israel,SST,mistral_7B,0.001,10,0,10
England-Ireland,SST,mistral_7B,0.001,18,18,0
Germany-Austria,SST,mistral_7B,0.001,18,18,0
U.S.S.R.-France,SST,mistral_7B,0.001,10,0,10
Belgium-Luxembourg,SST,mistral_7B,0.001,18,18,0
U.S.A.-U.S.S.R.,SST,mistral_7B,0.001,2,10,-8
China-North Korea,SST,mistral_7B,0.001,10,12,-2
India-Sri Lanka,SST,mistral_7B,0.001,12,12,0
U.S.A.-France,SST,mistral_7B,0.001,12,12,0
U.S.S.R.-Cuba,SST,mistral_7B,0.001,10,2,8
England-Jordan,SST,mistral_7B,0.001,10,12,-2
France-Israel,SST,mistral_7B,0.001,12,12,0
U.S.A.-Germany,SST,mistral_7B,0.001,12,12,0
U.S.S.R.-Syria,SST,mistral_7B,0.001,2,2,0
France-Algeria,SST,mistral_7B,0.001,12,12,0
U.S.A.-Mexico,SST,mistral_7B,0.5,12,12,0
U.S.S.R.-Poland,SST,mistral_7B,0.5,2,0,2
China-Albania,SST,mistral_7B,0.5,5,0,5
U.S.A.-Israel,SST,mistral_7B,0.5,10,12,-2
Japan-Philippines,SST,mistral_7B,0.5,12,12,0
U.S.A.-Canada,SST,mistral_7B,0.5,17,13,4
U.S.S.R.-Israel,SST,mistral_7B,0.5,2,2,0
England-Ireland,SST,mistral_7B,0.5,18,16,2
Germany-Austria,SST,mistral_7B,0.5,18,17,1
U.S.S.R.-France,SST,mistral_7B,0.5,8,0,8
Belgium-Luxembourg,SST,mistral_7B,0.5,18,18,0
U.S.A.-U.S.S.R.,SST,mistral_7B,0.5,2,12,-10
China-North Korea,SST,mistral_7B,0.5,4,8,-4
India-Sri Lanka,SST,mistral_7B,0.5,18,13,5
U.S.A.-France,SST,mistral_7B,0.5,12,10,2
U.S.S.R.-Cuba,SST,mistral_7B,0.5,10,2,8
England-Jordan,SST,mistral_7B,0.5,10,8,2
France-Israel,SST,mistral_7B,0.5,12,10,2
U.S.A.-Germany,SST,mistral_7B,0.5,12,18,-6
U.S.S.R.-Syria,SST,mistral_7B,0.5,2,0,2
France-Algeria,SST,mistral_7B,0.5,12,12,0
U.S.A.-Mexico,SST,mistral_7B,1.0,12,8,4
U.S.S.R.-Poland,SST,mistral_7B,1.0,8,2,6
China-Albania,SST,mistral_7B,1.0,5,0,5
U.S.A.-Israel,SST,mistral_7B,1.0,8,10,-2
Japan-Philippines,SST,mistral_7B,1.0,18,8,10
U.S.A.-Canada,SST,mistral_7B,1.0,8,19,-11
U.S.S.R.-Israel,SST,mistral_7B,1.0,3,13,-10
England-Ireland,SST,mistral_7B,1.0,18,12,6
Germany-Austria,SST,mistral_7B,1.0,8,12,-4
U.S.S.R.-France,SST,mistral_7B,1.0,8,0,8
Belgium-Luxembourg,SST,mistral_7B,1.0,18,18,0
U.S.A.-U.S.S.R.,SST,mistral_7B,1.0,1,3,-2
China-North Korea,SST,mistral_7B,1.0,12,12,0
India-Sri Lanka,SST,mistral_7B,1.0,10,12,-2
U.S.A.-France,SST,mistral_7B,1.0,8,10,-2
U.S.S.R.-Cuba,SST,mistral_7B,1.0,7,9,-2
England-Jordan,SST,mistral_7B,1.0,10,8,2
France-Israel,SST,mistral_7B,1.0,15,8,7
U.S.A.-Germany,SST,mistral_7B,1.0,12,16,-4
U.S.S.R.-Syria,SST,mistral_7B,1.0,3,10,-7
France-Algeria,SST,mistral_7B,1.0,7,10,-3
U.S.A.-Mexico,SST,mistral_7B,1.5,8,10,-2
U.S.S.R.-Poland,SST,mistral_7B,1.5,2,2,0
China-Albania,SST,mistral_7B,1.5,12,3,9
U.S.A.-Israel,SST,mistral_7B,1.5,8,8,0
Japan-Philippines,SST,mistral_7B,1.5,9,10,-1
U.S.A.-Canada,SST,mistral_7B,1.5,9,13,-4
U.S.S.R.-Israel,SST,mistral_7B,1.5,3,0,3
England-Ireland,SST,mistral_7B,1.5,15,10,5
Germany-Austria,SST,mistral_7B,1.5,12,18,-6
U.S.S.R.-France,SST,mistral_7B,1.5,20,8,12
Belgium-Luxembourg,SST,mistral_7B,1.5,18,9,9
U.S.A.-U.S.S.R.,SST,mistral_7B,1.5,0,13,-13
China-North Korea,SST,mistral_7B,1.5,13,7,6
India-Sri Lanka,SST,mistral_7B,1.5,7,13,-6
U.S.A.-France,SST,mistral_7B,1.5,9,9,0
U.S.S.R.-Cuba,SST,mistral_7B,1.5,7,10,-3
England-Jordan,SST,mistral_7B,1.5,20,2,18
France-Israel,SST,mistral_7B,1.5,12,7,5
U.S.A.-Germany,SST,mistral_7B,1.5,8,13,-5
U.S.S.R.-Syria,SST,mistral_7B,1.5,8,2,6
France-Algeria,SST,mistral_7B,1.5,12,8,4
U.S.A.-Mexico,SST,llama2_7B,0.001,10,10,0
U.S.S.R.-Poland,SST,llama2_7B,0.001,10,10,0
China-Albania,SST,llama2_7B,0.001,8,3,5
U.S.A.-Israel,SST,llama2_7B,0.001,10,10,0
Japan-Philippines,SST,llama2_7B,0.001,10,10,0
U.S.A.-Canada,SST,llama2_7B,0.001,15,15,0
U.S.S.R.-Israel,SST,llama2_7B,0.001,10,10,0
England-Ireland,SST,llama2_7B,0.001,10,10,0
Germany-Austria,SST,llama2_7B,0.001,15,15,0
U.S.S.R.-France,SST,llama2_7B,0.001,10,3,7
Belgium-Luxembourg,SST,llama2_7B,0.001,15,15,0
U.S.A.-U.S.S.R.,SST,llama2_7B,0.001,10,10,0
China-North Korea,SST,llama2_7B,0.001,10,10,0
India-Sri Lanka,SST,llama2_7B,0.001,10,10,0
U.S.A.-France,SST,llama2_7B,0.001,10,10,0
U.S.S.R.-Cuba,SST,llama2_7B,0.001,10,10,0
England-Jordan,SST,llama2_7B,0.001,10,10,0
France-Israel,SST,llama2_7B,0.001,10,10,0
U.S.A.-Germany,SST,llama2_7B,0.001,10,10,0
U.S.S.R.-Syria,SST,llama2_7B,0.001,3,10,-7
France-Algeria,SST,llama2_7B,0.001,10,10,0
U.S.A.-Mexico,SST,llama2_7B,0.5,10,10,0
U.S.S.R.-Poland,SST,llama2_7B,0.5,10,10,0
China-Albania,SST,llama2_7B,0.5,8,8,0
U.S.A.-Israel,SST,llama2_7B,0.5,10,10,0
Japan-Philippines,SST,llama2_7B,0.5,10,10,0
